...1;...2;id_record;id_study;id_control;id_effect;authors;publication_year;bibtexkey;category;author;title;year;journal;doi;language_record;language_materials;country;population;modality;incentives;incentive_notes;preregistered;open_data;open_data_claimed;open_materials;n_total;n_control;n_mi;within_between;accuracy_control_prop;accuracy_mi_prop;accuracy_control_mean;accuracy_mi_mean;accuracy_control_sd;accuracy_mi_sd;accuracy_type;accuracy_reverse;test_statistic;statistic_type;control_type;notes_comparison;notes_source;age_mean;age_median;age_sd;age_min;age_max;gender_female_prop;neuro_condition;preevent_valence;preevent_warning;preevent_alcohol;event_medium;event_materials;event_valence;postevent_recall;postevent_warning;postevent_retention_interval;exposure_medium;exposure_method;exposure_credibility;exposure_valence;postexposure_recall;postexposure_retention_interval;postexposure_warning;postexposure_correction;test_type;test_medium;item_centrality;items_control;items_misled;items_total;notes_moderators;notes_general;total_accuracy_control_mean;total_accuracy_mi_mean;total_accuracy_control_sd;total_accuracy_mi_sd;total_accuracy_control_prop;total_accuracy_mi_prop;id;yi;vi
11;22;007;007_01;007_01_01;0022;highhouse & bottril;1995;Highhouse_1995;article;"Scott Highhouse; Karen V. Bottrill";The Influence of Social (Mis)Information on Memory for Behavior in an Employment Interview;1995;Organizational Behavior and Human Decision Processes;10.1006/obhd.1995.1045;en;en;us;students;lab;course_credit;participants were given extra credits;0;0;0;0;93;35,000;35,000;between;NA;NA;0,4600;0,1700;NA;NA;proportion;0;omit;omit;consistent;comparing groups on percentage of foils correctly rejected;Table 1, p.224;24,000;NA;NA;18,000;45,000;0,6300;NA;no_manipulation;0;0;audiovisual;employment_interview_video_hinsz_1990;NA;0;0;0,00;text;narrative;NA;no_manipulation;0;0;0;0;recognition;text;NA;10;10;42;Participants viewed a interview video, evaluated them on their behaviors, received misinformation, recognition test;NA;0,460000000;0,170000000;0,2473290264606480;0,24920865893364000;NA;NA;22;1,15514145494129017;0,06667394129231344
12;23;007;007_01;007_01_01;0023;highhouse & bottril;1995;Highhouse_1995;article;"Scott Highhouse; Karen V. Bottrill";The Influence of Social (Mis)Information on Memory for Behavior in an Employment Interview;1995;Organizational Behavior and Human Decision Processes;10.1006/obhd.1995.1045;en;en;us;students;lab;course_credit;participants were given extra credits;0;0;0;0;93;35,000;23,000;between;NA;NA;0,4600;0,4200;NA;NA;proportion;0;omit;omit;consistent;comparing groups on percentage of foils correctly rejected;Table 1, p.224;24,500;NA;NA;18,000;48,500;0,6000;NA;no_manipulation;0;0;audiovisual;employment_interview_video_hinsz_1990;NA;0;0;0,00;text;narrative;NA;no_manipulation;0;0;1;0;recognition;text;NA;10;10;42;Participants viewed a interview video, evaluated them on their behaviors, received misinformation, received a warning, recognition test;Mean age were presented for both mislead group and control group, the extracted mean age is based on the mean of the mean age of the control group (24) and the mislead group (25). Same for the min/max age and gender distribution.;0,460000000;0,420000000;0,2740349173545840;0,32243913412094100;NA;NA;23;0,13422143717036097;0,07220499456337376
13;24;008;008_01;008_01_01;0024;lassiter et al;1987;Lassiter_1987;article;"G. Daniel Lassiter; Julie I. Stone; Michael F. Weigold";Effect of Leading Questions on the Self-Monitoring-Memory Correlation;1987;Personality and Social Psychology Bulletin;10.1177/0146167287134010;en;en;us;students;lab;NA;NA;0;0;0;0;48;12,000;12,000;between;NA;NA;0,9400;0,7280;NA;NA;proportion;0;omit;omit;no misinformation;comparing two groups on their recall accuracy on leading vs nonleading questions, as a function of subjects degree' of self-monitoring (high-monitors);Table 2, p.542;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;audiovisual;generic_activities_video_lassiter_et_al_1987;NA;0;0;0,00;text;questionnaire;NA;no_manipulation;0;0;0;0;recognition;text;NA;5;5;45;High self-monitors;They presented n for the condition (misleading / noleading questions, however they did not provide n after splitting the groups into high vs low self-monitors;0,940000000;0,728000000;0,0837791860103607;0,10248426347971000;NA;NA;24;2,18670097242494732;0,26628460714175439
14;25;008;008_01;008_01_02;0025;lassiter et al;1987;Lassiter_1987;article;"G. Daniel Lassiter; Julie I. Stone; Michael F. Weigold";Effect of Leading Questions on the Self-Monitoring-Memory Correlation;1987;Personality and Social Psychology Bulletin;10.1177/0146167287134010;en;en;us;students;lab;NA;NA;0;0;0;0;48;12,000;12,000;between;NA;NA;0,7710;0,7400;NA;NA;proportion;0;omit;omit;no misinformation;comparing two groups on their recall accuracy on leading vs nonleading questions, as a function of subjects degree' of self-monitoring (high-monitors);Table 2, p.542;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;audiovisual;generic_activities_video_lassiter_et_al_1987;NA;0;0;0,00;text;questionnaire;NA;no_manipulation;0;0;0;0;recognition;text;NA;5;5;45;Low self-monitors;They presented n for the condition (misleading / noleading questions, however they did not provide n after splitting the groups into high vs low self-monitors;0,771000000;0,740000000;0,1193671524524690;0,13293510675430301;NA;NA;25;0,23690464002250478;0,16783591267633732
15;33;011;011_01;011_01_01;0033;powers et al;1979;Powers_1979;article;"Peter A. Powers; Joyce L. Andriks; Elizabeth F. Loftus";Eyewitness accounts of females and males.;1979;Journal of Applied Psychology;10.1037/0021-9010.64.3.339;en;en;us;students;lab;money;money (unspecified) and WPS scores;0;0;0;0;50;25,000;25,000;between;NA;NA;2,7200;0,8400;NA;NA;count;0;omit;omit;consistent;NA;Table 2, p.342;NA;NA;NA;NA;NA;0,5000;NA;no_manipulation;0;0;visual;fight_slides_powers_et_al_1979;NA;1;0;24,00;text;narrative;NA;no_manipulation;0;0;0;0;recognition;text;NA;4;4;20;no moderators;The overall procedure included four major phases: (a) viewing the slides, (b) filling out an accuracy questionnaire, (c) reading a suggestibility paragraph, and (d) taking a final test.;0,680000000;0,210000000;0,3199856281280520;0,33423590660095198;NA;NA;33;1,41389911584426331;0,09999110709785189
16;38;014;014_01;014_01_01;0038;wright & stroud;1998;Wright_1998;article;"Daniel B. Wright; Joanne N. Stroud";Memory quality and misinformation for peripheral and central objects;1998;Legal and Criminological Psychology;10.1111/j.2044-8333.1998.tb00366.x;en;en;gb;students;lab;money;4 GBP;0;0;0;0;108;108,000;108,000;within;NA;NA;0,5600;0,2700;NA;NA;proportion;0;omit;omit;neutral;compares recall accuracy on peripheral details within subjects;Table 1, p.278;NA;24,0;NA;18,000;48,000;0,6800;NA;no_manipulation;0;0;visual;shoplifting_slides_wright_stroud_1998;NA;0;0;0,00;text;narrative;NA;no_manipulation;0;0;0;0;recognition;text;peripheral;2;2;10;peripheral item;People were randomly allocated into conditions that saw either one or two pieces of misinformation (out of 3 critical items on the test). I coded items_misled and items_control as 2 respectively, since it's the amount of info they might have been exposed to;0,560000000;0,270000000;0,5008645653724670;0,47873860597610501;NA;NA;38;0,58984817739252882;0,01932389090827150
17;39;014;014_01;014_01_01;0039;wright & stroud;1998;Wright_1998;article;"Daniel B. Wright; Joanne N. Stroud";Memory quality and misinformation for peripheral and central objects;1998;Legal and Criminological Psychology;10.1111/j.2044-8333.1998.tb00366.x;en;en;gb;students;lab;money;4 GBP;0;0;0;0;108;108,000;108,000;within;NA;NA;0,9800;0,9300;NA;NA;proportion;0;omit;omit;neutral;compares recall accuracy on central details within subjects;Table 1, p.278;NA;24,0;NA;18,000;48,000;0,6800;NA;no_manipulation;0;0;visual;shoplifting_slides_wright_stroud_1998;NA;0;0;0,00;text;narrative;NA;no_manipulation;0;0;0;0;recognition;text;central;2;2;10;central item;People were randomly allocated into conditions that saw either one or two pieces of misinformation (out of 3 critical items on the test). I coded items_misled and items_control as 2 respectively, since it's the amount of info they might have been exposed to;0,980000000;0,930000000;0,0659178942441940;0,00584199791774154;NA;NA;39;1,06477034774846913;0,02114290716075092
18;40;014;014_01;014_01_01;0040;wright & stroud;1998;Wright_1998;article;"Daniel B. Wright; Joanne N. Stroud";Memory quality and misinformation for peripheral and central objects;1998;Legal and Criminological Psychology;10.1111/j.2044-8333.1998.tb00366.x;en;en;gb;students;lab;money;4 GBP;0;0;0;0;108;108,000;108,000;within;NA;NA;0,5300;0,1500;NA;NA;proportion;0;omit;omit;neutral;compares recall accuracy on continous details within subjects;Table 1, p.278;NA;24,0;NA;18,000;48,000;0,6800;NA;no_manipulation;0;0;visual;shoplifting_slides_wright_stroud_1998;NA;0;0;0,00;text;narrative;NA;no_manipulation;0;0;0;0;recognition;text;NA;2;2;10;continuous item (the colour of a bystander’s shirt);People were randomly allocated into conditions that saw either one or two pieces of misinformation (out of 3 critical items on the test). I coded items_misled and items_control as 2 respectively, since it's the amount of info they might have been exposed to;0,530000000;0,150000000;0,4690055549144740;0,44300466775894198;NA;NA;40;0,83006221459123231;0,02011343351873171
19;41;015;015_01;015_01_01;0041;vornik et al;2003;Vornik_2003;article;"Lana Vornik; Stefanie Sharman; Maryanne Garry";The power of the spoken word: Sociolinguistic cues influence the misinformation effect;2003;Memory;10.1080/741938170;en;en;nz;students;lab;course_credit;completed the experiment as a voluntary part of their lab programme;0;0;0;0;184;93,000;93,000;within;NA;NA;2,4000;2,9000;NA;NA;count;0;omit;omit;neutral;compares the effect of an North American Accent (NA) and a New Zealand Accent (NZ) on ME;Figure 2, p.105, recall accuracy were extracted by using a ruler;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;shoplifting_slides_loftus_1991;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;0;0;0;recognition;text;NA;4;4;19;North American Accent (NA);NA;0,600000000;0,725000000;0,2787653803825380;0,27243202924728399;NA;NA;41;-0,45167651698617045;0,02205379482794828
20;42;015;015_01;015_01_02;0042;vornik et al;2003;Vornik_2003;article;"Lana Vornik; Stefanie Sharman; Maryanne Garry";The power of the spoken word: Sociolinguistic cues influence the misinformation effect;2003;Memory;10.1080/741938170;en;en;nz;students;lab;course_credit;completed the experiment as a voluntary part of their lab programme;0;0;0;0;184;91,000;91,000;within;NA;NA;2,4500;2,8000;NA;NA;count;0;omit;omit;neutral;compares the effect of an North American Accent (NA) and a New Zealand Accent (NZ) on ME;Figure 2, p.105, recall accuracy were extracted by using a ruler;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;shoplifting_slides_loftus_1991;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;0;0;0;recognition;text;NA;4;4;19;New Zealand Accent (NZ);NA;0,612500000;0,700000000;0,2570421993732450;0,27237898111343400;NA;NA;42;-0,32903211755123862;0,02227544542412157
21;51;018;018_01;018_01_01;0051;frost;2002;Frost_2002;article;"Peter Frost; Melissa Ingraham; Beth Wilson";Why misinformation is more likely to be recognised over time: A source monitoring account;2002;Memory;10.1080/09658210143000317;en;en;us;students;lab;course_credit;NA;0;0;0;0;48;24,000;24,000;within;NA;NA;0,7000;0,4600;NA;NA;proportion;0;omit;omit;consistent;compared groups based on retention interval (10min vs 1 week);Table 1, p.7;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;theft_slides_mccloskey_zaragoza_1985;NA;0;0;0,00;text;narrative;NA;no_manipulation;0;0;0;0;recognition;text;NA;2;2;4;10 min postexposure retention interval (vs 1 week);Conducted two experiments (exp 1 no warnings, exp 2 warnings). ME was compared between groups with different postexposure retention intervals. They also did a source-monitoring test.;0,700000000;0,460000000;0,2163235545158390;0,23753017187118500;NA;NA;51;1,03912201521509462;0,09458098502609040
22;52;018;018_01;018_01_02;0052;frost;2002;Frost_2002;article;"Peter Frost; Melissa Ingraham; Beth Wilson";Why misinformation is more likely to be recognised over time: A source monitoring account;2002;Memory;10.1080/09658210143000317;en;en;us;students;lab;course_credit;NA;0;0;0;0;48;24,000;24,000;within;NA;NA;0,5800;0,3300;NA;NA;proportion;0;omit;omit;consistent;compared groups based on retention interval (10min vs 1 week);Table 1, p.7;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;theft_slides_mccloskey_zaragoza_1985;NA;0;0;0,00;text;narrative;NA;no_manipulation;0;168;0;0;recognition;text;NA;2;2;4;1 week postexposure retention interval (vs 10 min);Conducted two experiments (exp 1 no warnings, exp 2 warnings). ME was compared between groups with different postexposure retention intervals. They also did a source-monitoring test.;0,580000000;0,330000000;0,2945227921009060;0,30449128150939903;NA;NA;52;0,82089506032917769;0,09035279895909212
23;53;018;018_02;018_02_01;0053;frost;2002;Frost_2002;article;"Peter Frost; Melissa Ingraham; Beth Wilson";Why misinformation is more likely to be recognised over time: A source monitoring account;2002;Memory;10.1080/09658210143000317;en;en;us;students;lab;course_credit;NA;0;0;0;0;48;24,000;24,000;within;NA;NA;0,6400;0,4500;NA;NA;proportion;0;omit;omit;consistent;compared warned groups based on retention interval (10min vs 1 week);Table 1, p.7;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;theft_slides_mccloskey_zaragoza_1985;NA;0;0;0,00;text;narrative;NA;no_manipulation;0;0;1;0;recognition;text;NA;2;2;4;warning and 10 min retention interval (vs 1 week);Conducted two experiments (exp 1 no warnings, exp 2 warnings). ME was compared between groups with different postexposure retention intervals. They also did a source-monitoring test.;0,640000000;0,450000000;0,2459308952093120;0,27348446846008301;NA;NA;53;0,71857714568320452;0,08871201160727313
24;54;018;018_02;018_02_02;0054;frost;2002;Frost_2002;article;"Peter Frost; Melissa Ingraham; Beth Wilson";Why misinformation is more likely to be recognised over time: A source monitoring account;2002;Memory;10.1080/09658210143000317;en;en;us;students;lab;course_credit;NA;0;0;0;0;48;24,000;24,000;within;NA;NA;0,5500;0,2800;NA;NA;proportion;0;omit;omit;consistent;compared warned groups based on retention interval (10min vs 1 week);Table 1, p.7;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;theft_slides_mccloskey_zaragoza_1985;NA;0;0;0,00;text;narrative;NA;no_manipulation;0;168;1;0;recognition;text;NA;2;2;4;warning and 1 week retention interval (vs 10 min);Conducted two experiments (exp 1 no warnings, exp 2 warnings). ME was compared between groups with different postexposure retention intervals. They also did a source-monitoring test.;0,550000000;0,280000000;0,2601234912872310;0,27730318903923001;NA;NA;54;0,98779664737674644;0,09349731475592438
25;55;019;019_01;019_01_01;0055;frost et al;2013;Frost_2012;article;"Peter Frost; Gregory Nussbaum; Taylor Loconto; Richard Syke; Casey Warren; Christina Muise";An individual differences approach to the suggestibility of memory over time;2012;Memory;10.1080/09658211.2012.729597;en;en;us;students;lab;course_credit;NA;0;0;0;0;72;72,000;72,000;within;NA;NA;0,7700;0,5000;NA;NA;proportion;0;omit;omit;consistent;NA;Results, first column p. 412;19,800;NA;NA;NA;NA;0,7100;NA;no_manipulation;0;0;audiovisual;clue_movie;NA;0;0;0,00;text;questionnaire;NA;no_manipulation;0;0;1;0;recognition;text;NA;6;2;10;warning with no control group (no-warning);Participants were postexposured warned. Repeated testing.;0,770000000;0,500000000;0,1584319621324540;0,14779001474380499;NA;NA;55;1,75303534342630840;0,03844837817813123
26;56;020;020_01;020_01_01;0056;itsukushima et al;2006;Frost_2012;article;"Peter Frost; Gregory Nussbaum; Taylor Loconto; Richard Syke; Casey Warren; Christina Muise";An individual differences approach to the suggestibility of memory over time;2012;Memory;10.1080/09658211.2012.729597;en;jp;jp;students;lab;NA;NA;0;0;0;0;54;27,000;27,000;between;NA;NA;0,8970;0,7500;NA;NA;proportion;0;omit;omit;consistent;NA;Results, first column, p. 578;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;daily_activities_slides_itsukushima_et_al_2006;NA;0;0;0,00;audiovisual;cowitness;NA;no_manipulation;0;0;0;0;recognition;visual;NA;3;3;16;audio-visual format (compared the ME on three different slides);Compared the ME effect on three different slides. They saw a video (exposure) were two confederates had a discussion;0,897000000;0,750000000;0,1870506405830380;0,19453553855419201;NA;NA;56;0,75914689358941456;0,07941022227820795
27;57;020;020_02;020_02_01;0057;itsukushima et al;2006;Frost_2012;article;"Peter Frost; Gregory Nussbaum; Taylor Loconto; Richard Syke; Casey Warren; Christina Muise";An individual differences approach to the suggestibility of memory over time;2012;Memory;10.1080/09658211.2012.729597;en;jp;jp;students;lab;NA;NA;0;0;0;0;54;27,000;27,000;between;NA;NA;0,9360;0,6670;NA;NA;proportion;0;omit;omit;consistent;NA;Results, first column, p. 578;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;daily_activities_slides_itsukushima_et_al_2006;NA;0;0;0,00;text;cowitness;NA;no_manipulation;0;0;0;0;recognition;visual;NA;3;3;16;audio-visual format (compared the ME on three different slides);Compared the ME effect on three different slides. They read a text (exposure) about two confederates having a discussion;0,936000000;0,667000000;0,1549345999956130;0,15787681937217701;NA;NA;57;1,69486505410540200;0,10067192177433062
28;76;022;022_01;022_01_01;0076;chan & langley;2011;Chan_2011;article;"Jason C. K. Chan; Moses M. Langley";Paradoxical effects of testing: Retrieval enhances both accurate recall and suggestibility in eyewitnesses.;2011;Journal of Experimental Psychology: Learning, Memory, and Cognition;10.1037/a0021204;en;en;us;students;lab;course_credit;NA;0;0;0;0;78;39,000;39,000;within;NA;NA;0,5300;0,3700;NA;NA;proportion;0;omit;omit;consistent;compared initial testing vs no testing;Figure 2, p. 251 recall accuracy were extracted by using a ruler;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;audiovisual;24_tv_show;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;168;0;0;cued_recall;text;NA;8;8;24;no initial test (vs 1 initial test);They had consistent and control (neutral) conditions. Consistent items were used for the effect size extraction.;0,530000000;0,370000000;0,2439843267202380;0,24034738540649400;NA;NA;76;0,65414052996713501;0,05402499892913900
