id_record,id_study,id_control,id_effect,authors,title,publication_year,container,record_type,doi,language_record,language_materials,country,population,modality,incentives,incentive_notes,preregistered,open_data,open_data_claimed,open_materials,n_total,n_control,n_mi,within_between,accuracy_control_prop,accuracy_mi_prop,accuracy_control_mean,accuracy_mi_mean,accuracy_control_sd,accuracy_mi_sd,accuracy_type,accuracy_reverse,test_statistic,statistic_type,control_type,notes_comparison,notes_source,age_mean,age_median,age_sd,age_min,age_max,gender_female_prop,neuro_condition,preevent_valence,preevent_warning,preevent_alcohol,event_medium,event_materials,event_valence,postevent_recall,postevent_warning,postevent_retention_interval,exposure_medium,exposure_method,exposure_credibility,exposure_valence,postexposure_recall,postexposure_retention_interval,postexposure_warning,postexposure_correction,test_type,test_medium,item_centrality,items_control,items_misled,items_total,notes_moderators,notes_general,,total_accuracy_control_mean,total_accuracy_mi_mean,total_accuracy_control_sd,total_accuracy_mi_sd,total_accuracy_control_prop,total_accuracy_mi_prop,id,,,,,,,
002,002_01,002_01_01,0011,blank et al,,2013,,article,10.1016/j.actpsy.2013.10.006,en,en,gb,students ,lab,course_credit_or_money,course credit or 5 GBP,0,0,0,0,120,60,60,within,NA,NA,.5,.41,.26,.30,proportion,0,omit,omit,consistent,students ,"Table 2, p.639",NA,19,NA,18.00,42.00,NA,NA,no_manipulation,0,0,visual,CCTV_robbery_jewellery_store_youtube_anonymous_2011,NA,0,0,0,live,cowitness,NA,no_manipulation,1,0,0,0,recognition,text,NA,3,3,18,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.  ",A 2 (influence type: direct vs. indirect) × 2 (post-warning: yes vs. no) experimental design. With exposure to misleading details (vs. no exposure) and time of assessment (immediately vs. one week later) were within-participants factors. We did not assess the repeated test),,.5,.41,.26,.30,NA,NA,11,,,,,,,
002,002_01,002_01_02,0012,blank et al,,2013,,article,10.1016/j.actpsy.2013.10.006,en,en,gb,students ,lab,course_credit_or_money,course credit or 5 GBP,0,0,0,0,120,60,60,within,NA,NA,.5,.38,.28,.26,proportion,0,omit,omit,consistent,students ,"Table 2, p.639",NA,19,NA,18.00,42.00,NA,NA,no_manipulation,0,0,visual,CCTV_robbery_jewellery_store_youtube_anonymous_2011,NA,0,0,0,text,narrative,NA,no_manipulation,1,0,0,0,recognition,text,NA,3,3,18,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.  ",A 2 (influence type: direct vs. indirect) × 2 (post-warning: yes vs. no) experimental design. With exposure to misleading details (vs. no exposure) and time of assessment (immediately vs. one week later) were within-participants factors. We did not assess the repeated test),,.5,.38,.28,.26,NA,NA,12,,,,,,,
003,003_01,003_01_01,0013,bowles,The Effect of Different Types of Leading Questions on Adult Eyewitnesses with Mild Intellectual Disabilities,2014,,article,10.1002/acp.2953,en,en,au,adults ,NA,NA,NA,0,0,0,0,41,41,41,within,NA,NA,.61,.421,.274,.287,proportion,0,omit,omit,neutral,within subjects comparison ID adults,p.131,32.37,NA,7.75,22.00,48.00,.39,intellectual_disability ,no_manipulation,0,0,visual,eric_the_electrician,NA,0,0,0,live,misinformation_interview,NA,no_manipulation,0,0,0,0,recognition,text,NA,4,4,20,"Participants were adults with mild intelectual disibility, typically meaning having an IQ between 50 and 75","This is a 2(control, misled)X4(question type) design comparing ID adults getting PEI through an interview. Only the main effect of misinformation is extracted here. ",,.61,.421,.274,.287,NA,NA,13,,,,,,,
004,004_02,004_02_01,0014,connolly & lindsey,,2001,,article,10.1002/1099-0720%28200103/04%2915:2%3C205::AID-ACP698%3E3.0.CO;2-F,en,en,ca,children,field,NA,NA,0,0,0,0,16,16,16,within,NA,NA,.06,.09,.17,.20,proportion,1,omit,omit,neutral,within subjects comparison on 8-year-olds on incorrect yes responces on variable details,p 218,8.30,NA,0.75,NA,NA,NA,NA,no_manipulation,0,0,live,play_sessions_connolly_lindsey_2011,NA,0,0,96,live,interview,NA,no_manipulation,0,24,0,0,recognition,live,NA,12,12,24,"participants were 8 year-old children, with two different event materials",this experiment looks at two misinformation events and measures recognition on those events biased by an interview. Multiple effects wer not available due to lacking reporting. The specific effects we report are indicated in the comparison notes. ,,0.940,0.910,.17,.20,NA,NA,14,,,,,,,
004,004_02,004_02_01,0015,connolly & lindsey,,2001,,article,10.1002/1099-0720%28200103/04%2915:2%3C205::AID-ACP698%3E3.0.CO;2-F,en,en,ca,children,field,NA,NA,0,0,0,0,16,16,16,within,NA,NA,.16,.47,.24,.39,proportion,1,omit,omit,neutral,within subjects comparison on 8-year-olds on incorrect yes responces on variable details,p 218,8.30,NA,0.75,NA,NA,NA,NA,no_manipulation,0,0,live,play_sessions_connolly_lindsey_2011,NA,0,0,96,live,interview,NA,no_manipulation,0,24,0,0,recognition,live,NA,12,12,24,"participants were 8 year-old children, with two different event materials",this experiment looks at two misinformation events and measures recognition on those events biased by an interview. Multiple effects wer not available due to lacking reporting. The specific effects we report are indicated in the comparison notes. ,,0.840,0.530,.24,.39,NA,NA,15,,,,,,,
004,004_02,004_02_01,0016,connolly & lindsey,,2001,,article,10.1002/1099-0720%28200103/04%2915:2%3C205::AID-ACP698%3E3.0.CO;2-F,en,en,ca,children,field,NA,NA,0,0,0,0,16,16,16,within,NA,NA,.16,.59,.24,.38,proportion,1,omit,omit,neutral,within subjects comparison on 8-year-olds incorrect 'yes' responses on Lauren story,p.218,8.30,NA,0.75,NA,NA,NA,NA,no_manipulation,0,0,audio,lauren_story,NA,0,0,96,live,interview,NA,no_manipulation,0,24,0,0,recognition,live,NA,12,2,4,participants were 8 year-old children,this experiment looks at two misinformation events and measures recognition on those events biased by an interview. Multiple effects wer not available due to lacking reporting. The specific effects we report are indicated in the comparison notes. ,,0.840,0.410,.24,.38,NA,NA,16,,,,,,,
005,005_01,005_01_01,0017,frost,,2000,,article,10.3758/BF03214367,en,en,us,students ,lab,course_credit,NA,0,0,0,0,48,48,48,within,NA,NA,.26,.14,.207,.207,proportion,0,omit,omit,no misinformation,NA,"p.533, table 1. p.534. Standar deviations are pooled and were calculated from the SEM reported with the t-statistics. ",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,theft_slides_mccloskey_zaragoza_1985,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,0,0,cued_recall,text,NA,2,2,4,no moderators,"participants are presented with slides, misinformation through narrative, and then cued recall in text ",,.26,.14,.207,.207,NA,NA,17,,,,,,,
005,005_02,005_02_01,0018,frost,,2000,,article,10.3758/BF03214367,en,en,us,students ,lab,course_credit,NA,0,0,0,0,48,48,48,within,NA,NA,.35,.16,.275,.275,proportion,0,omit,omit,no misinformation,NA,"p.533, table 1. p.534. Standar deviations are pooled and were calculated from the SEM reported with the t-statistics. ",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,theft_slides_mccloskey_zaragoza_1985,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,0,0,cued_recall,text,NA,4,4,6,no moderators,"participants are presented with slides, misinformation through narrative, and then cued recall in text",,.35,.16,.275,.275,NA,NA,18,,,,,,,
005,005_02,005_02_01,0019,frost,,2000,,article,10.3758/BF03214367,en,en,us,students ,lab,course_credit,NA,0,0,0,0,48,48,48,within,NA,NA,.17,.12,.24,.24,proportion,0,omit,omit,no misinformation,NA,"p.533, table 1. p.534. Standar deviations are pooled and were calculated from the SEM reported with the t-statistics. ",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,theft_slides_mccloskey_zaragoza_1985,NA,0,0,0,text,narrative,NA,no_manipulation,0,168,0,0,cued_recall,text,NA,4,4,6,a 168 hour time delay between exposer and recall testing. ,"participants are presented with slides, misinformation through narrative, and then cued recall in text",,.17,.12,.24,.24,NA,NA,19,,,,,,,
006,006_01,006_01_01,0020,multhaup,Source Memory and Eyewitness Suggestibility in Older Adults,1999,,article,10.1080/00221309909595352,en,en,us,older adults,lab,NA,NA,0,0,0,0,132,31,32,between,NA,NA,2.42,3.59,NA,NA,count,1,omit,omit,consistent,comparing groups (yes/no recognition test),,70.65,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,complex_office_scene_slide_psychology_today_1985,NA,1,0,0,text,narrative,NA,no_manipulation,1,0,0,0,recognition,text,NA,8,8,32,"The filler tasks were to shortly describe the slides, without the intention of RES. Therefore, postevent_recall and postexposure_recall was given a 1.","Mean age were presented for both mislead group and control group, the extracted mean age is based on the mean of the mean age of the control group (71.61) and the mislead group (69.69).",,0.6975,0.55125,NA,NA,NA,NA,20,,,,,,,
006,006_01,006_01_02,0021,multhaup,Source Memory and Eyewitness Suggestibility in Older Adults,1999,,article,10.1080/00221309909595352,en,en,us,older adults,lab,NA,NA,0,0,0,0,132,33,32,between,NA,NA,1.64,1.56,NA,NA,count,1,omit,omit,consistent,comparing groups (source-monitoring test),,70.49,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,complex_office_scene_slide_psychology_today_1985,NA,1,0,0,text,narrative,NA,no_manipulation,1,0,0,0,source_monitoring,text,NA,8,8,32,"The filler tasks were to shortly describe the slides, without the intention of RES. Therefore, post-event recall was given a 1.","Mean age were presented for both mislead group and control group, the extracted mean age is based on the mean of the mean age of the control group (70.03) and the mislead group (70.94). ",,0.795,0.805,NA,NA,NA,NA,21,,,,,,,
007,007_01,007_01_01,0022,highhouse & bottril,,1995,,article,10.1006/obhd.1995.1045,en,en,us,students ,lab,course_credit,participants were given extra credits,0,0,0,0,93,35,35,between,NA,NA,.46,.17,NA,NA,proportion,0,omit,omit,consistent,comparing groups on percentage of foils correctly rejected,"Table 1, p.224",24,NA,NA,18,45.00,.63,NA,no_manipulation,0,0,audiovisual,employment_interview_video_hinsz_1990,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,0,0,recognition,text,NA,10,10,42,"Participants viewed a interview video, evaluated them on their behaviors, received misinformation, recognition test ",,,.46,.17,NA,NA,NA,NA,22,,,,,,,
007,007_01,007_01_01,0023,highhouse & bottril,,1995,,article,10.1006/obhd.1995.1045,en,en,us,students ,lab,course_credit,participants were given extra credits,0,0,0,0,93,35,23,between,NA,NA,.46,.42,NA,NA,proportion,0,omit,omit,consistent,comparing groups on percentage of foils correctly rejected,"Table 1, p.224",24.5,NA,NA,18,48.5,.60,NA,no_manipulation,0,0,audiovisual,employment_interview_video_hinsz_1990,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,1,0,recognition,text,NA,10,10,42,"Participants viewed a interview video, evaluated them on their behaviors, received misinformation, received a warning, recognition test ","Mean age were presented for both mislead group and control group, the extracted mean age is based on the mean of the mean age of the control group (24) and the mislead group (25). Same for the min/max age and gender distribution.",,.46,.42,NA,NA,NA,NA,23,,,,,,,
008,008_01,008_01_01,0024,lassiter et al,,1987,,article,10.1177/0146167287134010,en,en,us,students ,lab,NA,NA,0,0,0,0,48,12,12,between,NA,NA,.94,.728,NA,NA,proportion,0,omit,omit,no misinformation,"comparing two groups on their recall accuracy on leading vs nonleading questions, as a function of subjects degree' of self-monitoring (high-monitors)","Table 2, p.542",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,audiovisual,generic_activities_video_lassiter_et_al_1987,NA,0,0,0,text,questionnaire,NA,no_manipulation,0,0,0,0,recognition,text,NA,5,5,45,High self-monitors,"They presented n for the condition (misleading / noleading questions, however they did not provide n after splitting the groups into high vs low self-monitors",,.94,.728,NA,NA,NA,NA,24,,,,,,,
008,008_01,008_01_02,0025,lassiter et al,,1987,,article,10.1177/0146167287134010,en,en,us,students ,lab,NA,NA,0,0,0,0,48,12,12,between,NA,NA,.771,.74,NA,NA,proportion,0,omit,omit,no misinformation,"comparing two groups on their recall accuracy on leading vs nonleading questions, as a function of subjects degree' of self-monitoring (high-monitors)","Table 2, p.542",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,audiovisual,generic_activities_video_lassiter_et_al_1987,NA,0,0,0,text,questionnaire,NA,no_manipulation,0,0,0,0,recognition,text,NA,5,5,45,Low self-monitors,"They presented n for the condition (misleading / noleading questions, however they did not provide n after splitting the groups into high vs low self-monitors",,.771,.74,NA,NA,NA,NA,25,,,,,,,
009,009_01,009_01_01,0026,calvillo et al.,,2016,,article,10.1002/acp.3259,en,en,us,students ,lab,course_credit,course credit toward the completion of a research requirement,0,0,0,0,177,59,59,within,NA,NA,.846,.19,.09,.318,proportion,1,omit,omit,consistent,comparing groups depending on how much they have slept ,"Table 2, p. 1064, proportions were measured with a ruler",19.75,NA,NA,19.37,20.12,.8644,NA,no_manipulation,0,0,visual,car_theft_and_grocery_store__slides_calvillo_et_al_2016,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,0,0,recognition,text,NA,6,6,36,immediate exposure to misinformation,"The experiment was a 4 (retention interval)×3 (recognition item type) mixed-model design. Retention interval was manipulated between subjects and consisted of four levels: immediate, 12-hour wake, 12-hour sleep, and 24hours.",,0.154,0.810,.09,.318,NA,NA,26,,,,,,,
009,009_01,009_01_02,0027,calvillo et al.,,2016,,article,10.1002/acp.3259,en,en,us,students ,lab,course_credit,course credit toward the completion of a research requirement,0,0,0,0,177,36,36,within,NA,NA,.851,.274,.174,.373,proportion,1,omit,omit,consistent,comparing groups depending on how much they have slept,"Table 2, p. 1064, proportions were measured with a ruler",20.44,NA,NA,19.35,21.54,.7777,NA,no_manipulation,0,0,visual,car_theft_and_grocery_store__slides_calvillo_et_al_2016,NA,0,0,12,text,narrative,NA,no_manipulation,0,0,0,0,recognition,text,NA,6,6,36,exposure to misinformation after being awake for 12 hours,"The experiment was a 4 (retention interval)×3 (recognition item type) mixed-model design. Retention interval was manipulated between subjects and consisted of four levels: immediate, 12-hour wake, 12-hour sleep, and 24hours.",,0.149,0.726,.174,.373,NA,NA,27,,,,,,,
009,009_01,009_01_03,0028,calvillo et al.,,2016,,article,10.1002/acp.3259,en,en,us,students ,lab,course_credit,course credit toward the completion of a research requirement,0,0,0,0,177,36,36,within,NA,NA,.797,.357,.199,.423,proportion,1,omit,omit,consistent,comparing groups depending on how much they have slept,"Table 2, p. 1064,proportions were measured with a ruler",20.56,NA,NA,19.78,21.32,.6944,NA,no_manipulation,0,0,visual,car_theft_and_grocery_store__slides_calvillo_et_al_2016,NA,0,0,12,text,narrative,NA,no_manipulation,0,0,0,0,recognition,text,NA,6,6,36,exposure to misinformation after being asleep for 12 hours,"The experiment was a 4 (retention interval)×3 (recognition item type) mixed-model design. Retention interval was manipulated between subjects and consisted of four levels: immediate, 12-hour wake, 12-hour sleep, and 24hours.",,0.203,0.643,.199,.423,NA,NA,28,,,,,,,
009,009_01,009_01_04,0029,calvillo et al. ,,2016,,article,10.1002/acp.3259,en,en,us,students ,lab,course_credit,course credit toward the completion of a research requirement,0,0,0,0,177,46,46,within,NA,NA,.797,.398,.158,.49,proportion,1,omit,omit,consistent,comparing groups depending on how much they have slept,"Table 2, p. 1064, proportions were measured with a ruler",20.48,NA,NA,19.44,21.52,.6956,NA,no_manipulation,0,0,visual,car_theft_and_grocery_store__slides_calvillo_et_al_2016,NA,0,0,24,text,narrative,NA,no_manipulation,0,0,0,0,recognition,text,NA,6,6,36,exposure to misinformation after 24 hours,"The experiment was a 4 (retention interval)×3 (recognition item type) mixed-model design. Retention interval was manipulated between subjects and consisted of four levels: immediate, 12-hour wake, 12-hour sleep, and 24hours.",,0.203,0.602,.158,.49,NA,NA,29,,,,,,,
010,010_01,010_01_01,0030,compo et al,,2012,,article,10.1037/h0093951,en,en,us,students ,lab,course_credit,research credit,0,0,0,0,93,30,30,within,NA,NA,.244,.193,.131,.131,proportion,1,omit,omit,consistent,comparing groups depending on alcohol / placebo / control,"Table 2, p. 84",24,NA,4.6,NA,NA,NA,NA,no_manipulation,0,1,live,intruder_theft_staged_crime_compo_et_al_2012,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,0,0,cued_recall,live,NA,12,12,24,alcohol/placebo/control (alcohol),"The study used a 3 (intoxication level: alcohol vs. placebo vs. control) 2 (information type: misinformation vs. control) mixed design with information type manipulated within subjects. However, they used different formats of questions in the recall interviews without reporting the statistics between the conditions/items",,0.756,0.807,.131,.131,NA,NA,30,,,,,,,
010,010_01,010_01_02,0031,compo et al,,2012,,article,10.1037/h0093951,en,en,us,students ,lab,course_credit,research credit,0,0,0,0,93,38,38,within,NA,NA,.261,.211,.144,.144,proportion,1,omit,omit,consistent,comparing groups depending on alcohol / placebo / control,"Table 2, p. 84",24,NA,4.6,NA,NA,NA,NA,no_manipulation,0,0,live,intruder_theft_staged_crime_compo_et_al_2012,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,0,0,cued_recall,live,NA,12,12,24,alcohol/placebo/control (placebo),"The study used a 3 (intoxication level: alcohol vs. placebo vs. control) 2 (information type: misinformation vs. control) mixed design with information type manipulated within subjects. However, they used different formats of questions in the recall interviews without reporting the statistics between the conditions/items",,0.739,0.789,.144,.144,NA,NA,31,,,,,,,
010,010_01,010_01_03,0032,compo et al,,2012,,article,10.1037/h0093951,en,en,us,students ,lab,course_credit,research credit,0,0,0,0,93,25,25,within,NA,NA,.253,.178,.124,.141,proportion,1,omit,omit,consistent,comparing groups depending on alcohol / placebo / control,"Table 2, p. 84",24,NA,4.6,NA,NA,NA,NA,no_manipulation,0,0,live,intruder_theft_staged_crime_compo_et_al_2012,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,0,0,cued_recall,live,NA,12,12,24,alcohol/placebo/control (control),"The study used a 3 (intoxication level: alcohol vs. placebo vs. control) 2 (information type: misinformation vs. control) mixed design with information type manipulated within subjects. However, they used different formats of questions in the recall interviews without reporting the statistics between the conditions/items",,0.747,0.822,.124,.141,NA,NA,32,,,,,,,
011,011_01,011_01_01,0033,powers et al,,1979,,article,10.1037/0021-9010.64.3.339,en,en,us,students ,lab,money,money (unspecified) and WPS scores,0,0,0,0,50,25,25,between,NA,NA,2.72,0.84,NA,NA,count,0,omit,omit,consistent,NA,"Table 2, p.342",,NA,NA,NA,NA,.50,NA,no_manipulation,0,0,visual,fight_slides_powers_et_al_1979,NA,1,0,24,text,narrative,NA,no_manipulation,0,0,0,0,recognition,text,NA,4,4,20,no moderators,"The overall procedure included four major phases: (a) viewing the slides, (b) filling out an accuracy questionnaire, (c) reading a suggestibility paragraph, and (d) taking a final test.",,0.68,0.21,NA,NA,NA,NA,33,,,,,,,
012,012_01,012_01_01,0034,zoladz et al,,2017,,article,10.1016/j.yhbeh.2017.04.003,en,en,us,students ,lab,none,NA,0,0,0,0,84,31,31,within,NA,NA,.126,.428,.245,.35,proportion,1,omit,omit,consistent,compared recall between confabulations and control items on responders to stress,Fig 3. p. 6. Probability of assents were gathered using a ruler,NA,NA,NA,NA,NA,.4516,NA,no_manipulation,0,0,audiovisual,looking_for_miracles,NA,0,0,24,live,interview,NA,no_manipulation,0,72,1,0,recognition,text,NA,9,4,22,"Stress. Responder (stressed) participants. Stressed participants were devided into cortisol “responders” and “non-responders” based on their cortisol response to the CPT. Specifically, stressed participants exhibiting a cortisol increase of at least 2.5 nmol/l following the CPT were considered responders (N =31; 17 males, 14 females); all other stressed participants were considered non-responders","Provided mean age for whole sample, but not for groups M=19.04,SD=1.07). Repeated testing. Yoked control items NOT CONSISTENT",,.874,0.572,.245,.35,NA,NA,34,,,,,,,
