"","id_record","id_study","id_control","id_misled","id_effect","authors","publication_year","bibtexkey","category","author","title","year","journal","doi","language_record","language_materials","country","population","modality","incentives","incentive_notes","preregistered","open_data","open_data_claimed","open_materials","n_total","n_control","n_mi","within_between","accuracy_control_prop","accuracy_mi_prop","accuracy_control_mean","accuracy_mi_mean","accuracy_control_sd","accuracy_mi_sd","accuracy_type","accuracy_reverse","test_statistic","statistic_type","control_type","notes_comparison","notes_source","age_mean","age_median","age_sd","age_min","age_max","gender_female_prop","neuro_condition","preevent_valence","preevent_warning","preevent_alcohol","event_medium","event_materials","event_valence","postevent_recall","postevent_warning","postevent_retention_interval","exposure_medium","exposure_method","exposure_credibility","exposure_valence","postexposure_recall","postexposure_retention_interval","postexposure_warning","postexposure_correction","test_type","test_medium","item_centrality","items_control","items_misled","items_total","notes_moderators","notes_general","sd_imputed","yi","vi"
"11","032","032_01","032_01_02","275_01_02","0134","sheehan & tilden",1986,NA,"article",NA,"the consistency of occurences of memory distortion following hypnotic induction","1986","the international journal of clinical and experimental hypnosis",NA,"en","en","au","community","lab","NA","NA",0,0,0,0,56,14,14,"between",NA,NA,6.79,8.43,2.15,2.62,"count",0,"omit","omit","no_misinformation","low h, central","table 2, p.130",NA,NA,NA,NA,NA,0.696,"NA","no_manipulation",0,0,"visual","wallet_snatching_slides_loftus_1979b","no_manipulation",0,0,NA,"text","questionnaire","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","central","3","3","NA","hypnosis","NA","0",-0.66435310201648,0.150738661502838
"12","032","032_01","032_01_02","275_01_02","0135","sheehan & tilden",1986,NA,"article",NA,"the consistency of occurences of memory distortion following hypnotic induction","1986","the international journal of clinical and experimental hypnosis",NA,"en","en","au","community","lab","NA","NA",0,0,0,0,56,14,14,"between",NA,NA,1.79,2.64,1.37,1.82,"count",0,"omit","omit","no_misinformation","low h, peripheral","table 2, p.130",NA,NA,NA,NA,NA,0.696,"NA","no_manipulation",0,0,"visual","wallet_snatching_slides_loftus_1979b","no_manipulation",0,0,NA,"text","questionnaire","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","peripheral","3","3","NA","hypnosis","NA","0",-0.512296130690957,0.147543702241445
"13","042","042_02","042_02_01","094_02_01","0175","echterhoff",2000,"NA","NA",NA,"NA","NA","NA","NA","en","de","de","students","lab","goods","rose or small pot-plant",0,0,0,0,94,23,23,"within",NA,NA,0.7,0.41,0.26,0.26,"proportion",0,"omit","omit","consistent","no source regular instruction, misleading item vs. control item","Table 5, p. 80, Table 8, p.86",29.3,NA,9.4,NA,NA,NA,"NA","no_manipulation",0,0,"audiovisual","drivers_education_video_aaa_foundation_for_traffic_safety","NA",0,0,"0","text","description","NA","no_manipulation",0,"0",0,0,"cued_recall","text","NA","4","4","16","NA","64% were students. the experiment was based on a 2x2x2 mixed factorial design with Item Type as the within-subjects factor (with the two conditions ""misleading"" vs. ""control""). Source Information as the one between-subjects factor (with the two conditions ""no source"", ""social invalidation""), and Type of Test Instruction as the other between-subjects factor (with the two conditions ""regular instruction"" vs. ""explicit invalidation"").","0",1.09624543783722,0.100019065869336
"14","042","042_02","042_02_02","094_02_02","0176","echterhoff",2000,"NA","NA",NA,"NA","NA","NA","NA","en","de","de","students","lab","goods","rose or small pot-plant",0,0,0,0,94,23,23,"within",NA,NA,0.8,0.19,0.19,0.27,"proportion",0,"omit","omit","consistent","no source explicit invalidation, misleading item vs. control item","Table 5, p. 80, Table 8, p.86",29.3,NA,9.4,NA,NA,NA,"NA","no_manipulation",0,0,"audiovisual","drivers_education_video_aaa_foundation_for_traffic_safety","NA",0,0,"0","text","description","NA","no_manipulation",0,"0",1,0,"cued_recall","text","NA","4","4","16","warning","64% were students. the experiment was based on a 2x2x2 mixed factorial design with Item Type as the within-subjects factor (with the two conditions ""misleading"" vs. ""control""). Source Information as the one between-subjects factor (with the two conditions ""no source"", ""social invalidation""), and Type of Test Instruction as the other between-subjects factor (with the two conditions ""regular instruction"" vs. ""explicit invalidation"").","0",2.56811656965236,0.158643725166554
"15","042","042_02","042_02_03","094_02_03","0177","echterhoff",2000,"NA","NA",NA,"NA","NA","NA","NA","en","de","de","students","lab","goods","rose or small pot-plant",0,0,0,0,94,24,24,"within",NA,NA,0.65,0.24,0.28,0.27,"proportion",0,"omit","omit","consistent","social invalidation regular instruction, misleading item vs. control item","Table 5, p. 80, Table 8, p.86",29.3,NA,9.4,NA,NA,NA,"NA","no_manipulation",0,0,"audiovisual","drivers_education_video_aaa_foundation_for_traffic_safety","NA",0,0,"0","text","description","strong","no_manipulation",0,"0",0,0,"cued_recall","text","NA","4","4","16","source credibility low","64% were students. the experiment was based on a 2x2x2 mixed factorial design with Item Type as the within-subjects factor (with the two conditions ""misleading"" vs. ""control""). Source Information as the one between-subjects factor (with the two conditions ""no source"", ""social invalidation""), and Type of Test Instruction as the other between-subjects factor (with the two conditions ""regular instruction"" vs. ""explicit invalidation"").","0",1.46620326720253,0.105726583549535
"16","042","042_02","042_02_04","094_02_04","0178","echterhoff",2000,"NA","NA",NA,"NA","NA","NA","NA","en","de","de","students","lab","goods","rose or small pot-plant",0,0,0,0,94,24,24,"within",NA,NA,0.68,0.19,0.27,0.23,"proportion",0,"omit","omit","consistent","social invalidation explicit invalidation, misleading item vs. control item","Table 5, p. 80, Table 8, p.86",29.3,NA,9.4,NA,NA,NA,"NA","no_manipulation",0,0,"audiovisual","drivers_education_video_aaa_foundation_for_traffic_safety","NA",0,0,"0","text","description","strong","no_manipulation",0,"0",1,0,"cued_recall","text","NA","4","4","16","source credibility low","64% were students. the experiment was based on a 2x2x2 mixed factorial design with Item Type as the within-subjects factor (with the two conditions ""misleading"" vs. ""control""). Source Information as the one between-subjects factor (with the two conditions ""no source"", ""social invalidation""), and Type of Test Instruction as the other between-subjects factor (with the two conditions ""regular instruction"" vs. ""explicit invalidation"").","0",1.92169982102447,0.12180135627214
"17","042","042_02","042_02_01","094_02_01","0179","echterhoff",2000,"NA","NA",NA,"NA","NA","NA","NA","en","de","de","students","lab","goods","rose or small pot-plant",0,0,0,0,94,23,23,"within",NA,NA,0.63,0.41,0.2,0.26,"proportion",0,"omit","omit","no_misinformation","no source regular instruction, misleading item vs. control item","Table 5, p. 80, Table 8, p.86",29.3,NA,9.4,NA,NA,NA,"NA","no_manipulation",0,0,"audiovisual","drivers_education_video_aaa_foundation_for_traffic_safety","NA",0,0,"0","text","description","NA","no_manipulation",0,"0",0,0,"cued_recall","text","NA","4","4","16","NA","64% were students. the experiment was based on a 2x2x2 mixed factorial design with Item Type as the within-subjects factor (with the two conditions ""misleading"" vs. ""control""). Source Information as the one between-subjects factor (with the two conditions ""no source"", ""social invalidation""), and Type of Test Instruction as the other between-subjects factor (with the two conditions ""regular instruction"" vs. ""explicit invalidation"").","0",0.932212006294559,0.0964023828769536
"18","042","042_02","042_02_02","094_02_02","0180","echterhoff",2000,"NA","NA",NA,"NA","NA","NA","NA","en","de","de","students","lab","goods","rose or small pot-plant",0,0,0,0,94,23,23,"within",NA,NA,0.51,0.19,0.2,0.27,"proportion",0,"omit","omit","no_misinformation","no source explicit invalidation, misleading item vs. control item","Table 5, p. 80, Table 8, p.86",29.3,NA,9.4,NA,NA,NA,"NA","no_manipulation",0,0,"audiovisual","drivers_education_video_aaa_foundation_for_traffic_safety","NA",0,0,"0","text","description","NA","no_manipulation",0,"0",1,0,"cued_recall","text","NA","4","4","16","warning","64% were students. the experiment was based on a 2x2x2 mixed factorial design with Item Type as the within-subjects factor (with the two conditions ""misleading"" vs. ""control""). Source Information as the one between-subjects factor (with the two conditions ""no source"", ""social invalidation""), and Type of Test Instruction as the other between-subjects factor (with the two conditions ""regular instruction"" vs. ""explicit invalidation"").","0",1.32373531200827,0.106002991046279
"19","042","042_02","042_02_03","094_02_03","0181","echterhoff",2000,"NA","NA",NA,"NA","NA","NA","NA","en","de","de","students","lab","goods","rose or small pot-plant",0,0,0,0,94,24,24,"within",NA,NA,0.54,0.24,0.21,0.27,"proportion",0,"omit","omit","no_misinformation","social invalidation regular instruction, misleading item vs. control item","Table 5, p. 80, Table 8, p.86",29.3,NA,9.4,NA,NA,NA,"NA","no_manipulation",0,0,"audiovisual","drivers_education_video_aaa_foundation_for_traffic_safety","NA",0,0,"0","text","description","strong","no_manipulation",0,"0",0,0,"cued_recall","text","NA","4","4","16","source credibility low","64% were students. the experiment was based on a 2x2x2 mixed factorial design with Item Type as the within-subjects factor (with the two conditions ""misleading"" vs. ""control""). Source Information as the one between-subjects factor (with the two conditions ""no source"", ""social invalidation""), and Type of Test Instruction as the other between-subjects factor (with the two conditions ""regular instruction"" vs. ""explicit invalidation"").","0",1.21999517779231,0.0988373774357969
"20","042","042_02","042_02_04","094_02_04","0182","echterhoff",2000,"NA","NA",NA,"NA","NA","NA","NA","en","de","de","students","lab","goods","rose or small pot-plant",0,0,0,0,94,24,24,"within",NA,NA,0.57,0.19,0.17,0.23,"proportion",0,"omit","omit","no_misinformation","social invalidation explicit invalidation, misleading item vs. control item","Table 5, p. 80, Table 8, p.86",29.3,NA,9.4,NA,NA,NA,"NA","no_manipulation",0,0,"audiovisual","drivers_education_video_aaa_foundation_for_traffic_safety","NA",0,0,"0","text","description","strong","no_manipulation",0,"0",1,0,"cued_recall","text","NA","4","4","16","source credibility low","64% were students. the experiment was based on a 2x2x2 mixed factorial design with Item Type as the within-subjects factor (with the two conditions ""misleading"" vs. ""control""). Source Information as the one between-subjects factor (with the two conditions ""no source"", ""social invalidation""), and Type of Test Instruction as the other between-subjects factor (with the two conditions ""regular instruction"" vs. ""explicit invalidation"").","0",1.84814795042166,0.118913029652581
"21","043","043_01","043_01_03","241_01_03","0183","peterson",2004,"Peterson_2004","article","Carole Peterson; Tina Parsons; Myra Dean","Providing misleading and reinstatement information a year after it happened: Effects on long-term memory","2004","Memory","10.1080/09658210344000468","en","en","ca","community","field","NA","NA",0,0,0,0,104,15,15,"within",NA,NA,1.71,1.94,0.12,0.21,"count",0,"omit","omit","consistent","comparing consistent and misled accuracy on central detail items on 8-13 year olds","table 2, p.9",9.3,NA,NA,NA,NA,0.533,"NA","no_manipulation",0,0,"live","hospital_treatment_peterson_et_al_2004","NA",3,0,"8904","live","interview","no_manipulation","no_manipulation",1,"8736",0,0,"free_recall","live","central","2","2","NA","NA","A interesting study examining childrens recall of n injury they had a year prior. Two memory tests are gathered. One after a week delay and on after a year delay.","0",-1.30842080108525,0.161866083211876
"22","043","043_01","043_01_06","241_01_03","0184","peterson",2004,"Peterson_2004","article","Carole Peterson; Tina Parsons; Myra Dean","Providing misleading and reinstatement information a year after it happened: Effects on long-term memory","2004","Memory","10.1080/09658210344000468","en","en","ca","community","field","NA","NA",0,0,0,0,104,16,15,"within",NA,NA,1.71,1.94,0.12,0.21,"count",0,"omit","omit","no_misinformation",NA,"table 2, p.9",9.3,NA,NA,NA,NA,0.533,"NA","no_manipulation",0,0,"live","hospital_treatment_peterson_et_al_2004","NA",3,0,"8904","live","interview","no_manipulation","no_manipulation",1,"8736",0,0,"free_recall","live","central","2","2","NA","NA","A interesting study examining childrens recall of n injury they had a year prior. Two memory tests are gathered. One after a week delay and on after a year delay.","0",-1.32130566620314,0.15732551607861
"23","044","044_01","044_01_03",NA,"0185","roebers & schneider",2000,"NA","NA",NA,"NA","NA","NA","10.1002/1099-0720(200011/12)14:6<509::AID-ACP668>3.0.CO;2-W","en","de","de","community","field","NA","NA",0,0,0,0,284,33,38,"between",NA,NA,7.9,7.7,0.3,0.5,"count",0,"omit","omit","neutral","10 year olds central","Table 4, p. 519",10.08,NA,0.583,NA,NA,0.634,"NA","no_manipulation",0,0,"audiovisual","gang_theft_fight_weber_1993","NA",0,0,"504","live","interview","NA","no_manipulation",0,"168",0,0,"recognition","live","central","8","8","27","NA","All subjects were shown a short video, and three weeks (PEI) as well as four weeks (REC) later interviewed about it","0",0.471799458645669,0.058186388292055
"24","045","045_01","045_01_01",NA,"0186","leding",2019,"Leding_2019","article","Juliana K. Leding; Lilyeth Antonio","Need for cognition and discrepancy detection in the misinformation effect","2019","Journal of Cognitive Psychology","10.1080/20445911.2019.1626400","en","en","us","students","lab","course_credit","NA",0,0,0,0,99,50,50,"within",NA,NA,0.99,0.96,0.07,0.11,"proportion",0,"omit","omit","consistent","comparing control and misled major details items with no warning in the high NFC group-","table 1, p.412",23.17,NA,6.03,NA,NA,0.796,"NA","no_manipulation",0,0,"audiovisual","pink_panther","NA",0,0,"0","audio","narrative","no_manipulation","no_manipulation",0,"0",0,0,"recognition","text","NA","12","6","24","NA","this study examines how need for cognitoin affects misinformation and its interaction with post warnings.","0",0.322897977882934,0.0405213155206044
"25","043","043_01","043_01_03","241_01_03","0187","peterson",2004,"Peterson_2004","article","Carole Peterson; Tina Parsons; Myra Dean","Providing misleading and reinstatement information a year after it happened: Effects on long-term memory","2004","Memory","10.1080/09658210344000468","en","en","ca","community","field","NA","NA",0,0,0,0,104,24,24,"within",NA,NA,1.94,1.92,0.12,0.12,"count",0,"omit","omit","consistent","comparing consistent and misled accuracy on peripheral detail items on 8-13 year olds","table 1, p.7",9.1,NA,NA,NA,NA,0.458,"NA","no_manipulation",0,0,"live","hospital_treatment_peterson_et_al_2004","NA",2,0,"8904","live","interview","no_manipulation","no_manipulation",0,"168",0,0,"free_recall","live","peripheral","2","2","NA","NA","A interesting study examining childrens recall of n injury they had a year prior. Two memory tests are gathered. One after a week delay and on after a year delay.","0",0.163931926250716,0.0836132674629611
"26","043","043_01","043_01_06","241_01_03","0188","peterson",2004,"Peterson_2004","article","Carole Peterson; Tina Parsons; Myra Dean","Providing misleading and reinstatement information a year after it happened: Effects on long-term memory","2004","Memory","10.1080/09658210344000468","en","en","ca","community","field","NA","NA",0,0,0,0,104,16,24,"within",NA,NA,1.94,1.92,0.12,0.14,"count",0,"omit","omit","no_misinformation",NA,"table 1, p.7",9.1,NA,NA,NA,NA,0.458,"NA","no_manipulation",0,0,"live","hospital_treatment_peterson_et_al_2004","NA",2,0,"8904","live","interview","no_manipulation","no_manipulation",0,"168",0,0,"free_recall","live","peripheral","2","2","NA","NA","A interesting study examining childrens recall of n injury they had a year prior. Two memory tests are gathered. One after a week delay and on after a year delay.","0",0.147978628164509,0.104440387596585
"27","043","043_01","043_01_02","241_01_02","0189","peterson",2004,"Peterson_2004","article","Carole Peterson; Tina Parsons; Myra Dean","Providing misleading and reinstatement information a year after it happened: Effects on long-term memory","2004","Memory","10.1080/09658210344000468","en","en","ca","community","field","NA","NA",0,0,0,0,104,15,15,"within",NA,NA,1.78,1.91,0.15,0.15,"count",0,"omit","omit","consistent","comparing consistent and misled accuracy on peripheral detail items on 5-6 year olds","table 1, p.7",5.6,NA,NA,NA,NA,0.433,"NA","no_manipulation",0,0,"live","hospital_treatment_peterson_et_al_2004","NA",2,0,"8904","live","interview","no_manipulation","no_manipulation",0,"168",0,0,"free_recall","live","peripheral","2","2","NA","NA","A interesting study examining childrens recall of n injury they had a year prior. Two memory tests are gathered. One after a week delay and on after a year delay.","0",-0.843207833048569,0.145183324161908
"28","043","043_01","043_01_05","241_01_02","0190","peterson",2004,"Peterson_2004","article","Carole Peterson; Tina Parsons; Myra Dean","Providing misleading and reinstatement information a year after it happened: Effects on long-term memory","2004","Memory","10.1080/09658210344000468","en","en","ca","community","field","NA","NA",0,0,0,0,104,10,15,"within",NA,NA,1.78,1.91,0.15,0.15,"count",0,"omit","omit","no_misinformation",NA,"table 1, p.7",5.6,NA,NA,NA,NA,0.433,"NA","no_manipulation",0,0,"live","hospital_treatment_peterson_et_al_2004","NA",2,0,"8904","live","interview","no_manipulation","no_manipulation",0,"168",0,0,"free_recall","live","peripheral","2","2","NA","NA","A interesting study examining childrens recall of n injury they had a year prior. Two memory tests are gathered. One after a week delay and on after a year delay.","0",-0.83804250499646,0.180712971470282
"29","046","046_01","046_01_01",NA,"0191","christiaansen & ochalek",1983,"Christiaansen_1983","article","Robert E. Christiaansen; Kathleen Ochalek","Editing misleading information from memory: Evidence for the coexistence of original and postevent information","1983","Memory {\&}amp$\mathsemicolon$ Cognition","10.3758/bf03196983","en","en","us","students","lab","NA","NA",0,0,0,0,61,16,18,"between",NA,NA,0.95,0.95,0.288281333333333,0.295285535714286,"proportion",0,"omit","omit","neutral","3 groups, 1) misled, 2) misled postexposure warned, 3) misled postexposure 45 min delay warned)","Table 1, p.420",NA,NA,NA,NA,NA,NA,"NA","no_manipulation",0,0,"visual","shoplifting_christianseen_et_al_1983","NA",1,0,"48","text","narrative","NA","no_manipulation",0,"0",1,0,"recognition","text","NA","4","4","27","biased-delay-informed condition, received warning 45minlater, just prior to the final test","NA","1",0,0.118055555555556
"30","047","047_02","047_02_01",NA,"0192","nahleen",2021,"Nahleen_2020","article","Sasha Nahleen; Deryn Strange; Melanie K. T. Takarangi","Does emotional or repeated misinformation increase memory distortion for a trauma analogue event?","2020","Psychological Research","10.1007/s00426-020-01409-x","en","en","us","mturk","online","NA","NA",1,1,1,0,165,55,55,"between",NA,NA,0.84,0.95,0.23,0.14,"proportion",0,"omit","omit","no_misinformation","comparing accuracy in no misinformation and repeated misinformation old crux clips.","table 2, p. 2461",38.09,NA,10.72,21,76,0.582,"NA","no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",0,0,"24","text","narrative","no_manipulation","no_manipulation",0,"0",0,0,"recognition","text","NA","6","6","18","NA","A studie examining the effect of having different missing scenes from a traumatic event. No effect was found. Group sizes was infered from total sample size in experiment one.","0",-0.573725296198258,0.0378598214340808
