...1,id_record,id_study,id_control,id_misled,id_effect,authors,publication_year,bibtexkey,category,author,title,year,journal,doi,language_record,language_materials,country,population,modality,incentives,incentive_notes,preregistered,open_data,open_data_claimed,open_materials,n_total,n_control,n_mi,within_between,accuracy_control_prop,accuracy_mi_prop,accuracy_control_mean,accuracy_mi_mean,accuracy_control_sd,accuracy_mi_sd,accuracy_type,accuracy_reverse,test_statistic,statistic_type,control_type,notes_comparison,notes_source,age_mean,age_median,age_sd,age_min,age_max,gender_female_prop,neuro_condition,preevent_valence,preevent_warning,preevent_alcohol,event_medium,event_materials,event_valence,postevent_recall,postevent_warning,postevent_retention_interval,exposure_medium,exposure_method,exposure_credibility,exposure_valence,postexposure_recall,postexposure_retention_interval,postexposure_warning,postexposure_correction,test_type,test_medium,item_centrality,items_control,items_misled,items_total,notes_moderators,misinformation_type,misinformation_type_notes,sd_imputed,yi,vi,year_raw,control_acc,precision,leverage,resid,se,z,pred,se_pred,ci.lb,ci.ub,pi.lb,pi.ub
11,002,002_01,002_01_01,NA,0011,blank et al,5.335480673934626,Blank_2013,article,Hartmut Blank; James Ost; Jo Davies; Georgina Jones; Katie Lambert; Kelly Salmon,Comparing the influence of directly vs. indirectly encountered post-event misinformation on eyewitness remembering,2013,Acta Psychologica,10.1016/j.actpsy.2013.10.006,en,en,gb,students,lab,course_credit_or_money,course credit or 5 GBP,0,0,0,0,120,60,60,within,NA,NA,0.27,0.21,0.24,0.19,proportion,0,omit,omit,consistent,students,"Table 2, p.639",NA,19,NA,18,42,NA,NA,no_manipulation,0,0,visual,CCTV_robbery_jewellery_store_youtube_anonymous_2011,NA,0,0,0,live,cowitness,NA,no_manipulation,0,0,0,0,free_recall,text,NA,3,3,NA,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.",contradictory,NA,0,0.275435815377396,0.0336494370349692,2013,-0.3780167926932342,29.718179206409282,-0.013035693862510973,0.23693936455699444,0.8701202098672566,0.2723064719909693,0.038496450820401554,0.23361031618942787,-0.4193713553278914,0.49636425696869446,-1.7499181167176523,1.8269110183584554
12,002,002_01,002_01_02,NA,0012,blank et al,5.335480673934626,Blank_2013,article,Hartmut Blank; James Ost; Jo Davies; Georgina Jones; Katie Lambert; Kelly Salmon,Comparing the influence of directly vs. indirectly encountered post-event misinformation on eyewitness remembering,2013,Acta Psychologica,10.1016/j.actpsy.2013.10.006,en,en,gb,students,lab,course_credit_or_money,course credit or 5 GBP,0,0,0,0,120,60,60,within,NA,NA,0.19,0.17,0.2,0.22,proportion,0,omit,omit,consistent,students,"Table 2, p.639",NA,19,NA,18,42,NA,NA,no_manipulation,0,0,visual,CCTV_robbery_jewellery_store_youtube_anonymous_2011,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,0,0,free_recall,text,NA,3,3,NA,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.",contradictory,NA,0,0.0945241585203297,0.0333705617355999,2013,-0.4580167926932342,29.966531816969518,-0.010910758698300457,0.1794513475439532,0.8697732786465877,0.20631968347336307,-0.08492718902362349,0.23430434887675552,-0.5441552742431721,0.37430089619592516,-1.8736904969348982,1.7038361188876514
13,002,002_01,002_01_01,NA,0013,blank et al,5.335480673934626,Blank_2013,article,Hartmut Blank; James Ost; Jo Davies; Georgina Jones; Katie Lambert; Kelly Salmon,Comparing the influence of directly vs. indirectly encountered post-event misinformation on eyewitness remembering,2013,Acta Psychologica,10.1016/j.actpsy.2013.10.006,en,en,gb,students,lab,course_credit_or_money,course credit or 5 GBP,0,0,0,0,120,60,60,within,NA,NA,0.5,0.55,0.28,0.33,proportion,0,omit,omit,consistent,"state memory, direct",Table 3,NA,19,NA,18,42,NA,NA,no_manipulation,0,0,visual,CCTV_robbery_jewellery_store_youtube_anonymous_2011,NA,0,0,0,text,narrative,NA,no_manipulation,2,0,1,0,source_monitoring,missing,NA,3,3,NA,"The memory state test includes a warning, so these cases are coded as having a post-exposure warning",contradictory,NA,0,-0.162345431692389,0.0334431501632974,2013,-0.1480167926932342,29.901489396697514,0.07872348156616402,-0.23301053369232144,0.8687055690957428,-0.26822728204087365,0.07066510199993244,0.23838478726616089,-0.39656049550398537,0.5378906995038503,-1.720168082983573,1.861498286983438
14,002,002_01,002_01_02,NA,0014,blank et al,5.335480673934626,Blank_2013,article,Hartmut Blank; James Ost; Jo Davies; Georgina Jones; Katie Lambert; Kelly Salmon,Comparing the influence of directly vs. indirectly encountered post-event misinformation on eyewitness remembering,2013,Acta Psychologica,10.1016/j.actpsy.2013.10.006,en,en,gb,students,lab,course_credit_or_money,course credit or 5 GBP,0,0,0,0,120,60,60,within,NA,NA,0.47,0.49,0.3,0.32,proportion,0,omit,omit,consistent,"state memory, indirect",Table 3,NA,19,NA,18,42,NA,NA,no_manipulation,0,0,visual,CCTV_robbery_jewellery_store_youtube_anonymous_2011,NA,0,0,0,text,narrative,NA,no_manipulation,2,0,1,0,source_monitoring,missing,NA,3,3,NA,"The memory state test includes a warning, so these cases are coded as having a post-exposure warning",contradictory,NA,0,-0.0640717252746081,0.0333504382749153,2013,-0.17801679269323423,29.984613448158342,0.07869546240877169,-0.08845296233303113,0.86863583701777,-0.10182974103015463,0.024381237058423037,0.23844442400263055,-0.44296124630113076,0.49172372041797685,-1.766482446818144,1.8152449209349901
15,003,003_01,003_01_01,NA,0015,bowles,6.335480673934626,Bowles_2013,article,Peter V. Bowles; Stefanie J. Sharman,The Effect of Different Types of Leading Questions on Adult Eyewitnesses with Mild Intellectual Disabilities,2013,Applied Cognitive Psychology,10.1002/acp.2953,en,en,au,community,missing,NA,NA,0,0,0,0,41,41,41,within,NA,NA,0.61,0.421,0.274,0.287,proportion,0,omit,omit,neutral,within subjects comparison ID adults,p.131,32.37,NA,7.75,22,48,-0.10999999999999999,intellectual_disability,no_manipulation,0,0,visual,eric_the_electrician,NA,0,0,0,live,misinformation_interview,NA,no_manipulation,0,0,0,0,recognition,text,NA,4,4,20,"Participants were adults with mild intelectual disibility, typically meaning having an IQ between 50 and 75",contradictory,NA,0,0.667277689787633,0.051495484849319,2014,-0.038016792693234214,19.41917826244575,0.0016633712316880336,0.10307063293994723,0.880487255047252,0.1170609027548228,0.5642070568476858,0.2329618015110487,0.10761031611246163,1.0208037975829098,-1.2238825161674087,2.3522966298627805
16,004,004_02,004_02_01,NA,0016,connolly & lindsey,-6.664519326065374,NA,article,NA,NA,NA,NA,10.1002/1099-0720%28200103/04%2915:2%3C205::AID-ACP698%3E3.0.CO;2-F,en,en,ca,community,field,NA,NA,0,0,0,0,16,16,16,within,NA,NA,0.06,0.09,0.17,0.2,proportion,1,omit,omit,neutral,within subjects comparison on 8-year-olds on incorrect yes responces on variable details,p 218,8.3,NA,0.75,NA,NA,NA,NA,no_manipulation,0,0,live,play_sessions_connolly_lindsey_2011,NA,0,0,96,live,interview,NA,no_manipulation,0,24,0,0,recognition,live,NA,12,12,24,"participants were 8 year-old children, with two different event materials",contradictory,NA,0,0.157551243817824,0.125387849912946,2001,-0.5880167926932343,7.9752543862445835,0.0033168822120407814,0.4608878960306384,0.921126374995868,0.500352512468993,-0.30333665221281436,0.23440898791325854,-0.7627698261752859,0.15609652174965716,-2.0921526234106635,1.485479318985035
17,004,004_02,004_02_01,NA,0017,connolly & lindsey,-6.664519326065374,NA,article,NA,NA,NA,NA,10.1002/1099-0720%28200103/04%2915:2%3C205::AID-ACP698%3E3.0.CO;2-F,en,en,ca,community,field,NA,NA,0,0,0,0,16,16,16,within,NA,NA,0.16,0.47,0.24,0.39,proportion,1,omit,omit,neutral,within subjects comparison on 8-year-olds on incorrect yes responces on variable details,p 218,8.3,NA,0.75,NA,NA,NA,NA,no_manipulation,0,0,live,play_sessions_connolly_lindsey_2011,NA,0,0,96,live,interview,NA,no_manipulation,0,24,0,0,recognition,live,NA,12,12,24,"participants were 8 year-old children, with two different event materials",contradictory,NA,0,0.933195575380345,0.138607093467335,2001,-0.48801679269323417,7.214637974034614,8.348030548854714e-4,1.082252677788128,0.9285678845950481,1.1655073320353981,-0.14905710240778303,0.23324300542698448,-0.606204992690553,0.3080907878749869,-1.9372874933432636,1.6391732885276973
18,004,004_02,004_02_01,NA,0018,connolly & lindsey,-6.664519326065374,NA,article,NA,NA,NA,NA,10.1002/1099-0720%28200103/04%2915:2%3C205::AID-ACP698%3E3.0.CO;2-F,en,en,ca,community,field,NA,NA,0,0,0,0,16,16,16,within,NA,NA,0.16,0.59,0.24,0.38,proportion,1,omit,omit,neutral,within subjects comparison on 8-year-olds incorrect 'yes' responses on Lauren story,p.218,8.3,NA,0.75,NA,NA,NA,NA,no_manipulation,0,0,live,lauren_story_connolly_lindsey_2001,NA,0,0,96,live,interview,NA,no_manipulation,0,24,0,0,recognition,live,NA,12,2,4,participants were 8 year-old children,contradictory,NA,0,1.31887295679289,0.152178529314994,2001,-0.48801679269323417,6.5712292299139134,0.0015684080331930797,1.4679300592006732,0.9358470773310038,1.5685576145486797,-0.14905710240778303,0.23324300542698448,-0.606204992690553,0.3080907878749869,-1.9372874933432636,1.6391732885276973
19,005,005_02,005_02_01,NA,0019,frost,-7.664519326065374,NA,article,NA,NA,NA,NA,10.3758/BF03214367,en,en,us,students,lab,course_credit,NA,0,0,0,0,48,48,48,within,NA,NA,0.35,0.16,0.275,0.275,proportion,0,omit,omit,no_misinformation,"contradictory misinformation, 10 min delay","p.533, table 1. p.534. Standar deviations are pooled and were calculated from the SEM reported with the t-statistics.",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,theft_slides_mccloskey_zaragoza_1985,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,0,0,cued_recall,text,NA,4,4,6,"the study also had an additive (supplemental) misinformation condition, however they only reported recall for the PEI concerning additive misinfo, and not for the event itself",contradictory,NA,0,0.685379355533922,0.0441132544843338,2000,-0.2980167926932342,22.668923698548152,-0.0023895689590264202,0.5385410418418105,0.8765443345445236,0.6143911044974709,0.14683831369211156,0.23198449619926953,-0.30784294383012567,0.6015195712143488,-1.6407630913804165,1.9344397187646398
20,005,005_01,005_01_01,NA,0020,frost,-7.664519326065374,NA,article,NA,NA,NA,NA,10.3758/BF03214367,en,en,us,students,lab,course_credit,NA,0,0,0,0,48,48,48,within,NA,NA,0.26,0.14,0.207,0.207,proportion,0,omit,omit,no_misinformation,contradictory misinformation,"p.533, table 1. p.534. Standar deviations are pooled and were calculated from the SEM reported with the t-statistics.",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,theft_slides_mccloskey_zaragoza_1985,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,0,0,cued_recall,text,NA,2,2,4,no moderators,contradictory,NA,0,0.575070397473161,0.0433890935523434,2000,-0.3880167926932342,23.047266447122887,8.007063590090159e-4,0.5670836786055775,0.8759712375791592,0.6473770533525443,0.007986718867583547,0.23258763273436303,-0.44787666454119723,0.46385010227636436,-1.7799157286412772,1.7958891663764442
21,005,005_02,005_02_01,NA,0021,frost,-7.664519326065374,NA,article,NA,NA,NA,NA,10.3758/BF03214367,en,en,us,students,lab,course_credit,NA,0,0,0,0,48,48,48,within,NA,NA,0.17,0.12,0.24,0.24,proportion,0,omit,omit,no_misinformation,"contradictory misinformation, 1 week delay","p.533, table 1. p.534. Standar deviations are pooled and were calculated from the SEM reported with the t-statistics.",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,theft_slides_mccloskey_zaragoza_1985,NA,0,0,0,text,narrative,NA,no_manipulation,0,168,0,0,cued_recall,text,NA,4,4,6,"a 168 hour time delay between exposer and recall testing. the study also had an additive (supplemental) misinformation condition, however they only reported recall for the PEI concerning additive misinfo, and not for the event itself",contradictory,NA,0,0.206665924091917,0.0418891187717748,2000,-0.47801679269323416,23.872548034450595,0.005668941975936966,0.37137450735670297,0.8748898445078329,0.4244814472222143,-0.16470858326478596,0.23343179124410998,-0.6222264869499138,0.2928093204203419,-1.9530336011705658,1.623616434640994
22,006,006_01,006_01_02,NA,0022,multhaup,-8.664519326065374,Multhaup_1999,article,Kristi S. Multhaup; Doreen M. De Leonardis; Marcia K. Johnson,Source Memory and Eyewitness Suggestibility in Older Adults,1999,The Journal of General Psychology,10.1080/00221309909595352,en,en,us,community,lab,NA,NA,0,0,0,0,132,33,32,between,NA,NA,1.64,1.56,0.716418177419128,0.807645074346434,count,1,omit,omit,consistent,comparing groups (source-monitoring test),NA,70.49,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,complex_office_scene_slide_psychology_today_1985,NA,1,0,0,text,narrative,NA,no_manipulation,1,0,0,0,source_monitoring,text,NA,8,8,32,"The filler tasks were to shortly describe the slides, without the intention of RES. Therefore, post-event recall was given a 1.",additive,NA,1,-0.103639751601681,0.0616356549038923,1999,-0.44301679269323424,16.224375348315636,0.0023341787276429395,-0.022745758920680523,0.8856794888982571,-0.025681704505740737,-0.08089399268100048,0.235034083195203,-0.541552330882989,0.37976434552098814,-1.8700250225472568,1.708237037185256
23,006,006_01,006_01_01,NA,0023,multhaup,-8.664519326065374,Multhaup_1999,article,Kristi S. Multhaup; Doreen M. De Leonardis; Marcia K. Johnson,Source Memory and Eyewitness Suggestibility in Older Adults,1999,The Journal of General Psychology,10.1080/00221309909595352,en,en,us,community,lab,NA,NA,0,0,0,0,132,31,32,between,NA,NA,2.42,3.59,1.0997202744917,1.18721236923738,count,1,omit,omit,consistent,comparing groups (yes/no recognition test),NA,70.65,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,complex_office_scene_slide_psychology_today_1985,NA,1,0,0,text,narrative,NA,no_manipulation,1,0,0,0,recognition,text,NA,8,8,32,"The filler tasks were to shortly describe the slides, without the intention of RES. Therefore, postevent_recall and postexposure_recall was given a 1.",additive,NA,1,1.00919320074718,0.0715911670275127,1999,-0.3455167926932342,13.968203641878013,0.0035097423618369534,0.939664632368275,0.8915020410800306,1.054024095368191,0.069528568378905,0.23419820706454958,-0.38949148271146616,0.5285486194692762,-1.7191813423607545,1.8582384791185647
24,007,007_01,007_01_01,NA,0024,highhouse & bottril,-12.664519326065374,Highhouse_1995,article,Scott Highhouse; Karen V. Bottrill,The Influence of Social (Mis)Information on Memory for Behavior in an Employment Interview,1995,Organizational Behavior and Human Decision Processes,10.1006/obhd.1995.1045,en,en,us,students,lab,course_credit,participants were given extra credits,0,0,0,0,93,35,23,between,NA,NA,0.46,0.42,0.227773923232323,0.245495593722944,proportion,0,omit,omit,consistent,comparing groups on percentage of foils correctly rejected,"Table 1, p.224",24.5,NA,NA,18,48.5,0.09999999999999998,NA,no_manipulation,0,0,audiovisual,employment_interview_video_hinsz_1990,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,1,0,recognition,text,NA,10,10,42,"Participants viewed a interview video, evaluated them on their behaviors, received misinformation, received a warning, recognition test",contradictory,NA,1,0.16799588430616,0.0722929878646473,1995,-0.18801679269323418,13.832600222199693,0.015348592661366832,0.13653715465634242,0.8912174429924057,0.15320296492166602,0.03145872964981759,0.23676566386474696,-0.4325934443008029,0.4955109036004381,-1.758549135590883,1.8214665948905184
25,007,007_01,007_01_01,NA,0025,highhouse & bottril,-12.664519326065374,Highhouse_1995,article,Scott Highhouse; Karen V. Bottrill,The Influence of Social (Mis)Information on Memory for Behavior in an Employment Interview,1995,Organizational Behavior and Human Decision Processes,10.1006/obhd.1995.1045,en,en,us,students,lab,course_credit,participants were given extra credits,0,0,0,0,93,35,35,between,NA,NA,0.46,0.17,0.194904182539683,0.176547841269841,proportion,0,omit,omit,consistent,comparing groups on percentage of foils correctly rejected,"Table 1, p.224",24,NA,NA,18,45,0.13,NA,no_manipulation,0,0,audiovisual,employment_interview_video_hinsz_1990,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,0,0,recognition,text,NA,10,10,42,"Participants viewed a interview video, evaluated them on their behaviors, received misinformation, recognition test",contradictory,NA,1,1.54226184749865,0.0741326543303568,1995,-0.18801679269323418,13.489332184757709,0.004349945275896798,1.2315167124718944,0.8930778683594222,1.3789578222716257,0.31074513502675566,0.23361955781043042,-0.14714078436586103,0.7686310544193724,-1.4776740699286417,2.099164339982153
