...1,id_record,id_study,id_control,id_misled,id_effect,authors,publication_year,bibtexkey,category,author,title,year,journal,doi,language_record,language_materials,country,population,modality,incentives,incentive_notes,preregistered,open_data,open_data_claimed,open_materials,n_total,n_control,n_mi,within_between,accuracy_control_prop,accuracy_mi_prop,accuracy_control_mean,accuracy_mi_mean,accuracy_control_sd,accuracy_mi_sd,accuracy_type,accuracy_reverse,test_statistic,statistic_type,control_type,notes_comparison,notes_source,age_mean,age_median,age_sd,age_min,age_max,gender_female_prop,neuro_condition,preevent_valence,preevent_warning,preevent_alcohol,event_medium,event_materials,event_valence,postevent_recall,postevent_warning,postevent_retention_interval,exposure_medium,exposure_method,exposure_credibility,exposure_valence,postexposure_recall,postexposure_retention_interval,postexposure_warning,postexposure_correction,test_type,test_medium,item_centrality,items_control,items_misled,items_total,notes_moderators,notes_general,sd_imputed,yi,vi,year_raw,control_acc,leverage,resid,se,z,pred,se_pred,ci.lb,ci.ub,pi.lb,pi.ub,p,p2,p_log
23,003,003_01,003_01_01,280_01_01,0023,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.49,0.4,0.336292727272727,0.314620546365915,proportion,0,omit,omit,no_misinformation,"young, form A, nonmentioned vs misled",NA,NA,NA,NA,20,35,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,8,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,0.270884271061012,0.100917228603853,1989,-0.16177228624562456,0.0018247745460631775,-0.1535919531903045,0.9120759160610189,-0.168398211690121,0.4244762242513165,0.26250549280495383,-0.09002508739033122,0.9389775358929642,-1.4023779295120462,2.2513303780146794,0.8030898052496455,0.30308980524964546,0.7057317982894747
24,003,003_01,003_01_06,280_01_06,0024,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.68,0.37,0.188896666666667,0.187945023809524,proportion,0,omit,omit,consistent,"old, form B, led vs misled",NA,NA,NA,NA,60,75,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,1.61252464118474,0.13250294648035,1989,0.028227713754375494,0.00122685149952103,0.8408951184104202,0.9292579050255086,0.9049103740337158,0.7716295227743198,0.2624063151591837,0.257322595746453,1.2859364498021866,-1.055169895506276,2.598428941054916,0.9999952860865502,0.4999952860865502,5.326618395637963
25,003,003_01,003_01_06,280_01_06,0025,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.48,0.37,0.364153560606061,0.340927957621326,proportion,0,omit,omit,no_misinformation,"old, form B, nonsuggested vs misled",NA,NA,NA,NA,60,75,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,0.305648914262167,0.101167765734871,1989,-0.17177228624562457,6.940217685816358e-4,-0.10055608375109665,0.9122027513141703,-0.11023435700695917,0.40620499801326365,0.26254197385789113,-0.10836781517825927,0.9207778112047866,-1.420669294191133,2.23307929021766,0.8317118946470805,0.3317118946470805,0.7739465789864237
26,003,003_01,003_01_06,280_01_06,0026,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.4,0.37,0.363800833333334,0.336882887445888,proportion,0,omit,omit,no_misinformation,"old, form B, nonmentioned vs misled",NA,NA,NA,NA,60,75,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,8,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,0.0838656239968407,0.100087918036105,1989,-0.25177228624562453,0.0021096378953537115,-0.1761695641120006,0.911494205146463,-0.19327557226070669,0.2600351881088413,0.26294602835560693,-0.25532955734599605,0.7753999335636786,-1.5670623244227713,2.0871327006404536,0.6045298899403627,0.10452988994036272,0.402886335242689
27,003,003_01,003_01_03,280_01_03,0027,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.7,0.32,0.272330393939394,0.247093904761905,proportion,0,omit,omit,consistent,"middle, form A, led vs misled",NA,NA,NA,NA,40,55,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,1.43236712792919,0.125645944864651,1989,0.0482277137543754,0.0011648136220545281,0.6241951526787648,0.9255453864264289,0.6744079348596934,0.8081719752504253,0.26246154830158624,0.29375679325269655,1.322587157248154,-1.0186579234843292,2.6350018739851797,0.9999733788865114,0.4999733788865114,4.5747737831270765
28,003,003_01,003_01_03,280_01_03,0028,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.6,0.32,0.290647060606061,0.256470714285714,proportion,0,omit,omit,no_misinformation,"middle, form A, nonsuggested vs misled",NA,NA,NA,NA,40,55,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,1.00123618492862,0.11253092372513,1989,-0.05177228624562458,5.096107174674901e-4,0.37577647205872267,0.9184762024481867,0.4091303302764897,0.6254597128698973,0.26231044788371405,0.11134068224924698,1.1395787434905476,-1.2012868150008398,2.4522062407406344,0.998580714269052,0.49858071426905204,2.847930163469857
29,003,003_01,003_01_03,280_01_03,0029,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.47,0.32,0.378203560606061,0.378290100478469,proportion,0,omit,omit,no_misinformation,"middle, form A, nonmentioned vs misled",NA,NA,NA,NA,40,55,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,8,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,0.388678892951761,0.101888391022828,1989,-0.18177228624562458,0.0014453960928664912,7.451211765501231e-4,0.9125862639102614,8.164939644800462e-4,0.3879337717752109,0.26258157542486943,-0.12671665906132085,0.9025842026117425,-1.4389623843873949,2.2148299279378167,0.8883247654448599,0.38832476544485994,0.9520431266922907
30,003,003_01,003_01_05,280_01_05,0030,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.53,0.3,0.399888560606061,0.398611719526088,proportion,0,omit,omit,consistent,"old, form A, led vs misled",NA,NA,NA,NA,60,75,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,0.564621227814134,0.103984964136229,1989,-0.12177228624562453,0.0012552174955175045,0.06706009861060624,0.9137890429518168,0.07338684910685918,0.4975611292035278,0.2623907980949341,-0.01671538493726399,1.0118376433443195,-1.3292297270354343,2.32435198544249,0.9600221079574743,0.46002210795747434,1.3981801091282162
31,003,003_01,003_01_05,280_01_05,0031,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.63,0.3,0.387587560606061,0.379359125541126,proportion,0,omit,omit,no_misinformation,"old, form A, nonsuggested vs misled",NA,NA,NA,NA,60,75,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,0.843390616714,0.108891346654515,1989,-0.02177228624562455,7.831222349205999e-4,0.1631172251299442,0.9164891731155241,0.1779805260278652,0.6802733915840558,0.2623229384251558,0.1661298799520322,1.1944169032160792,-1.1464800263667048,2.5070268095348163,0.9947032675098829,0.4947032675098829,2.2759919604228553
32,003,003_01,003_01_05,280_01_05,0032,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.37,0.3,0.396759404761905,0.402929982683983,proportion,0,omit,omit,no_misinformation,"old, form A, nonmentioned vs misled",NA,NA,NA,NA,60,75,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,8,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,0.171580833419692,0.100367999779962,1989,-0.28177228624562456,0.0027640124566270306,-0.033640675974990875,0.9115893055409744,-0.036903324524004945,0.20522150939468287,0.26314885447356784,-0.3105407679464819,0.7209837867358476,-1.6219881737477913,2.032431192537157,0.7059497243391857,0.20594972433918568,0.5315784091273936
33,003,003_01,003_01_02,280_01_02,0033,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.73,0.2,0.191428333333333,0.1962325,proportion,0,omit,omit,consistent,"young, form B, led vs misled",NA,NA,NA,NA,20,35,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,2.67975809811225,0.189763793304978,1989,0.07822771375437543,0.0011115229985455518,1.8167724441476663,0.9595292152358041,1.8933998207664733,0.8629856539645837,0.26256782023204,0.34836218281059805,1.3776091251185694,-0.9639029076351799,2.6898742155643474,0.9999999996165027,0.49999999961650266,9.416237638389465
34,003,003_01,003_01_02,280_01_02,0034,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.54,0.2,0.207061428571429,0.216883833333333,proportion,0,omit,omit,no_misinformation,"young, form B, nonsuggested vs misled",NA,NA,NA,NA,20,35,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,1.57165634794532,0.13087629595046,1989,-0.11177228624562452,5.819945017759571e-4,1.0558239925037394,0.9283925322634505,1.13726032449831,0.5158323554415806,0.2623699369123391,0.0015967284673498172,1.0300679824158112,-1.3109469907004372,2.342611701583598,0.9999930162950806,0.49999301629508064,5.155914119044834
35,003,003_01,003_01_02,280_01_02,0035,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.5,0.2,0.306181727272727,0.2619235,proportion,0,omit,omit,no_misinformation,"young, form B, nonmentioned vs misled",NA,NA,NA,NA,20,35,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,8,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,1.03200913062926,0.113313035571277,1989,-0.15177228624562455,9.876659248896106e-4,0.5892616801398907,0.9188556994868222,0.6412994776753208,0.4427474504893693,0.26247213356722005,-0.07168847824776853,0.9571833792265072,-1.3840882904072003,2.269583191385939,0.9989145520671261,0.4989145520671261,2.964391004091536
36,003,003_01,003_01_04,280_01_04,0036,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.8,0.12,0.177521333333333,0.181092666666667,proportion,0,omit,omit,consistent,"middle, form B, led vs misled",NA,NA,NA,NA,40,55,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,3.71676525045598,0.272679299087463,1989,0.1482277137543755,0.001457804242413,2.7258810128250266,1.001710626973612,2.721226010210666,0.9908842376309535,0.2629248955558645,0.4755609117025038,1.506207563559403,-0.8362015922323938,2.8179700674943007,0.9999999999994512,0.4999999999994512,12.260599159730226
37,003,003_01,003_01_04,280_01_04,0037,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.54,0.12,0.200484285714286,0.186948,proportion,0,omit,omit,no_misinformation,"middle, form B, nonsuggested vs misled",NA,NA,NA,NA,40,55,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,2.12370195454008,0.156376374896467,1989,-0.11177228624562452,5.84473642011158e-4,1.6078695990984992,0.94202588759999,1.7068210335438732,0.5158323554415806,0.2623699369123391,0.0015967284673498172,1.0300679824158112,-1.3109469907004372,2.342611701583598,0.9999999607225745,0.49999996072257447,7.405856986081688
38,003,003_01,003_01_04,280_01_04,0038,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.46,0.12,0.196991428571429,0.175411333333333,proportion,0,omit,omit,no_misinformation,"middle, form B, nonmentioned vs misled",NA,NA,NA,NA,40,55,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,8,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,1.78666470721342,0.139902134700025,1989,-0.19177228624562453,0.001336038267227387,1.4170021616762618,0.9331693284760769,1.5184834289295746,0.36966254553715816,0.26262429609424565,-0.14507161627274645,0.8843967073470628,-1.4572572000388817,2.196582291113198,0.9999991091657393,0.4999991091657393,6.0502030887381055
