"","...1","...2","id_record","id_study","id_control","id_effect","authors","title","publication_year","container","record_type","doi","language_record","language_materials","country","population","modality","incentives","incentive_notes","preregistered","open_data","open_data_claimed","open_materials","n_total","n_control","n_mi","within_between","accuracy_control_prop","accuracy_mi_prop","accuracy_control_mean","accuracy_mi_mean","accuracy_control_sd","accuracy_mi_sd","accuracy_type","accuracy_reverse","test_statistic","statistic_type","control_type","notes_comparison","notes_source","age_mean","age_median","age_sd","age_min","age_max","gender_female_prop","neuro_condition","preevent_valence","preevent_warning","preevent_alcohol","event_medium","event_materials","event_valence","postevent_recall","postevent_warning","postevent_retention_interval","exposure_medium","exposure_method","exposure_credibility","exposure_valence","postexposure_recall","postexposure_retention_interval","postexposure_warning","postexposure_correction","test_type","test_medium","item_centrality","items_control","items_misled","items_total","notes_moderators","notes_general","total_accuracy_control_mean","total_accuracy_mi_mean","total_accuracy_control_sd","total_accuracy_mi_sd","total_accuracy_control_prop","total_accuracy_mi_prop","id","yi","vi","cooks_dist"
"11",11,22,"007","007_01","007_01_01","0022","highhouse & bottril",NA,"1995",NA,"article","10.1006/obhd.1995.1045","en","en","us","students","lab","course_credit","participants were given extra credits",0,0,0,0,93,35,35,"between",NA,NA,0.46,0.17,NA,NA,"proportion",0,"omit","omit","consistent","comparing groups on percentage of foils correctly rejected","Table 1, p.224","24",NA,NA,18,45,0.63,NA,"no_manipulation",0,0,"audiovisual","employment_interview_video_hinsz_1990",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,10,10,42,"Participants viewed a interview video, evaluated them on their behaviors, received misinformation, recognition test",NA,0.46,0.17,0.258319199085236,0.24920865893364,NA,NA,22,1.12995370609534,0.0662628241279899,0.00133041335505153
"12",12,23,"007","007_01","007_01_01","0023","highhouse & bottril",NA,"1995",NA,"article","10.1006/obhd.1995.1045","en","en","us","students","lab","course_credit","participants were given extra credits",0,0,0,0,93,35,23,"between",NA,NA,0.46,0.42,NA,NA,"proportion",0,"omit","omit","consistent","comparing groups on percentage of foils correctly rejected","Table 1, p.224","24.5",NA,NA,18,48.5,0.6,NA,"no_manipulation",0,0,"audiovisual","employment_interview_video_hinsz_1990",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,1,0,"recognition","text",NA,10,10,42,"Participants viewed a interview video, evaluated them on their behaviors, received misinformation, received a warning, recognition test","Mean age were presented for both mislead group and control group, the extracted mean age is based on the mean of the mean age of the control group (24) and the mislead group (25). Same for the min/max age and gender distribution.",0.46,0.42,0.24684901535511,0.322439134120941,NA,NA,23,0.141439826888625,0.0722221482740135,0.00117088558383407
"13",13,24,"008","008_01","008_01_01","0024","lassiter et al",NA,"1987",NA,"article","10.1177/0146167287134010","en","en","us","students","lab",NA,NA,0,0,0,0,48,12,12,"between",NA,NA,0.94,0.728,NA,NA,"proportion",0,"omit","omit","no misinformation","comparing two groups on their recall accuracy on leading vs nonleading questions, as a function of subjects degree' of self-monitoring (high-monitors)","Table 2, p.542",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"audiovisual","generic_activities_video_lassiter_et_al_1987",NA,0,0,0,"text","questionnaire",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,5,5,45,"High self-monitors","They presented n for the condition (misleading / noleading questions, however they did not provide n after splitting the groups into high vs low self-monitors",0.94,0.728,0.0835839137434959,0.10248426347971,NA,NA,24,2.18874310830745,0.266470758211737,0.00370584192387674
"14",14,25,"008","008_01","008_01_02","0025","lassiter et al",NA,"1987",NA,"article","10.1177/0146167287134010","en","en","us","students","lab",NA,NA,0,0,0,0,48,12,12,"between",NA,NA,0.771,0.74,NA,NA,"proportion",0,"omit","omit","no misinformation","comparing two groups on their recall accuracy on leading vs nonleading questions, as a function of subjects degree' of self-monitoring (high-monitors)","Table 2, p.542",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"audiovisual","generic_activities_video_lassiter_et_al_1987",NA,0,0,0,"text","questionnaire",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,5,5,45,"Low self-monitors","They presented n for the condition (misleading / noleading questions, however they did not provide n after splitting the groups into high vs low self-monitors",0.771,0.74,0.143250778317451,0.132935106754303,NA,NA,25,0.216579612078391,0.167643890174334,0.00278413856090434
"15",15,33,"011","011_01","011_01_01","0033","powers et al",NA,"1979",NA,"article","10.1037/0021-9010.64.3.339","en","en","us","students","lab","money","money (unspecified) and WPS scores",0,0,0,0,50,25,25,"between",NA,NA,2.72,0.84,NA,NA,"count",0,"omit","omit","consistent",NA,"Table 2, p.342",NA,NA,NA,NA,NA,0.5,NA,"no_manipulation",0,0,"visual","fight_slides_powers_et_al_1979",NA,1,0,24,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,4,4,20,"no moderators","The overall procedure included four major phases: (a) viewing the slides, (b) filling out an accuracy questionnaire, (c) reading a suggestibility paragraph, and (d) taking a final test.",0.68,0.21,0.359665274620056,0.334235906600952,NA,NA,33,1.33246926796551,0.0977547435007255,0.00140982076579415
"16",16,38,"014","014_01","014_01_01","0038","wright & stroud",NA,"1998",NA,"article","10.1111/j.2044-8333.1998.tb00366.x","en","en","gb","students","lab","money","4 GBP",0,0,0,0,108,108,108,"within",NA,NA,0.56,0.27,NA,NA,"proportion",0,"omit","omit","neutral","compares recall accuracy on peripheral details within subjects","Table 1, p.278",NA,24,NA,18,48,0.68,NA,"no_manipulation",0,0,"visual","shoplifting_slides_wright_stroud_1998",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text","peripheral",2,2,10,"peripheral item","People were randomly allocated into conditions that saw either one or two pieces of misinformation (out of 3 critical items on the test). I coded items_misled and items_control as 2 respectively, since it's the amount of info they might have been exposed to",0.56,0.27,0.449313431978226,0.478738605976105,NA,NA,38,0.622458868690926,0.0194154051926203,0.00106156041377572
"17",17,39,"014","014_01","014_01_01","0039","wright & stroud",NA,"1998",NA,"article","10.1111/j.2044-8333.1998.tb00366.x","en","en","gb","students","lab","money","4 GBP",0,0,0,0,108,108,108,"within",NA,NA,0.98,0.93,NA,NA,"proportion",0,"omit","omit","neutral","compares recall accuracy on central details within subjects","Table 1, p.278",NA,24,NA,18,48,0.68,NA,"no_manipulation",0,0,"visual","shoplifting_slides_wright_stroud_1998",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text","central",2,2,10,"central item","People were randomly allocated into conditions that saw either one or two pieces of misinformation (out of 3 critical items on the test). I coded items_misled and items_control as 2 respectively, since it's the amount of info they might have been exposed to",0.98,0.93,0.003698012791574,0.00584199791774154,NA,NA,39,10.1911919734073,0.258936096849172,0.000728378756865827
"18",18,40,"014","014_01","014_01_01","0040","wright & stroud",NA,"1998",NA,"article","10.1111/j.2044-8333.1998.tb00366.x","en","en","gb","students","lab","money","4 GBP",0,0,0,0,108,108,108,"within",NA,NA,0.53,0.15,NA,NA,"proportion",0,"omit","omit","neutral","compares recall accuracy on continous details within subjects","Table 1, p.278",NA,24,NA,18,48,0.68,NA,"no_manipulation",0,0,"visual","shoplifting_slides_wright_stroud_1998",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,2,2,10,"continuous item (the colour of a bystander’s shirt)","People were randomly allocated into conditions that saw either one or two pieces of misinformation (out of 3 critical items on the test). I coded items_misled and items_control as 2 respectively, since it's the amount of info they might have been exposed to",0.53,0.15,0.464533090591431,0.443004667758942,NA,NA,40,0.834257099913574,0.0201295946961949,0.000257893006854195
"19",19,41,"015","015_01","015_01_01","0041","vornik et al",NA,"2003",NA,"article","10.1080/741938170","en","en","nz","students","lab","course_credit","completed the experiment as a voluntary part of their lab programme",0,0,0,0,184,93,93,"within",NA,NA,2.4,2.9,NA,NA,"count",0,"omit","omit","neutral","compares the effect of an North American Accent (NA) and a New Zealand Accent (NZ) on ME","Figure 2, p.105, recall accuracy were extracted by using a ruler",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","shoplifting_slides_loftus_1991",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,4,4,19,"North American Accent (NA)",NA,0.6,0.725,0.270445078611374,0.272432029247284,NA,NA,41,-0.458626250605624,0.0220708011767327,0.000408901157074069
"20",20,42,"015","015_01","015_01_02","0042","vornik et al",NA,"2003",NA,"article","10.1080/741938170","en","en","nz","students","lab","course_credit","completed the experiment as a voluntary part of their lab programme",0,0,0,0,184,91,91,"within",NA,NA,2.45,2.8,NA,NA,"count",0,"omit","omit","neutral","compares the effect of an North American Accent (NA) and a New Zealand Accent (NZ) on ME","Figure 2, p.105, recall accuracy were extracted by using a ruler",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","shoplifting_slides_loftus_1991",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,4,4,19,"New Zealand Accent (NZ)",NA,0.6125,0.7,0.317396551370621,0.272378981113434,NA,NA,42,-0.294627662195968,0.0222164985146458,0.000111943092796589
"21",21,51,"018","018_01","018_01_01","0051","frost","Why misinformation is more likely to be recognised over time: A source monitoring account.","2002",NA,"article","10.1080/09658210143000317","en","en","us","students","lab","course_credit",NA,0,0,0,0,48,24,24,"within",NA,NA,0.7,0.46,NA,NA,"proportion",0,"omit","omit","consistent","compared groups based on retention interval (10min vs 1 week)","Table 1, p.7",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,2,2,4,"10 min postexposure retention interval (vs 1 week)","Conducted two experiments (exp 1 no warnings, exp 2 warnings). ME was compared between groups with different postexposure retention intervals. They also did a source-monitoring test.",0.7,0.46,0.218198910355568,0.237530171871185,NA,NA,51,1.0350442593473,0.0944928814459145,8.13722339938574e-07
"22",22,52,"018","018_01","018_01_02","0052","frost","Why misinformation is more likely to be recognised over time: A source monitoring account.","2002",NA,"article","10.1080/09658210143000317","en","en","us","students","lab","course_credit",NA,0,0,0,0,48,24,24,"within",NA,NA,0.58,0.33,NA,NA,"proportion",0,"omit","omit","consistent","compared groups based on retention interval (10min vs 1 week)","Table 1, p.7",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,168,0,0,"recognition","text",NA,2,2,4,"1 week postexposure retention interval (vs 10 min)","Conducted two experiments (exp 1 no warnings, exp 2 warnings). ME was compared between groups with different postexposure retention intervals. They also did a source-monitoring test.",0.58,0.33,0.24684901535511,0.304491281509399,NA,NA,52,0.887164994479977,0.0915318929940693,1.2382515327504e-06
"23",23,53,"018","018_02","018_02_01","0053","frost","Why misinformation is more likely to be recognised over time: A source monitoring account.","2002",NA,"article","10.1080/09658210143000317","en","en","us","students","lab","course_credit",NA,0,0,0,0,48,24,24,"within",NA,NA,0.64,0.45,NA,NA,"proportion",0,"omit","omit","consistent","compared warned groups based on retention interval (10min vs 1 week)","Table 1, p.7",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,1,0,"recognition","text",NA,2,2,4,"warning and 10 min retention interval (vs 1 week)","Conducted two experiments (exp 1 no warnings, exp 2 warnings). ME was compared between groups with different postexposure retention intervals. They also did a source-monitoring test.",0.64,0.45,0.273844242095947,0.273484468460083,NA,NA,53,0.682888918295861,0.0881910132784509,1.34317677182401e-05
"24",24,54,"018","018_02","018_02_02","0054","frost","Why misinformation is more likely to be recognised over time: A source monitoring account.","2002",NA,"article","10.1080/09658210143000317","en","en","us","students","lab","course_credit",NA,0,0,0,0,48,24,24,"within",NA,NA,0.55,0.28,NA,NA,"proportion",0,"omit","omit","consistent","compared warned groups based on retention interval (10min vs 1 week)","Table 1, p.7",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,168,1,0,"recognition","text",NA,2,2,4,"warning and 1 week retention interval (vs 10 min)","Conducted two experiments (exp 1 no warnings, exp 2 warnings). ME was compared between groups with different postexposure retention intervals. They also did a source-monitoring test.",0.55,0.28,0.24684901535511,0.27730318903923,NA,NA,54,1.0116244585015,0.0939935838024838,5.3931277848858e-07
"25",25,55,"019","019_01","019_01_01","0055","frost et al","An individual differences approach to the suggestibility of memory over time","2013",NA,"article","10.1080/09658211.2012.729597","en","en","us","students","lab","course_credit",NA,0,0,0,0,72,72,72,"within",NA,NA,0.77,0.5,NA,NA,"proportion",0,"omit","omit","consistent",NA,"Results, first column p. 412","19.8",NA,NA,NA,NA,0.71,NA,"no_manipulation",0,0,"audiovisual","clue_movie",NA,0,0,0,"text","questionnaire",NA,"no_manipulation",0,0,1,0,"recognition","text",NA,6,2,10,"warning with no control group (no-warning)","Participants were postexposured warned. Repeated testing.",0.77,0.5,0.16021665930748,0.147790014743805,NA,NA,55,1.74251218505577,0.0383206552606522,0.00501451004559859
"26",26,56,"020","020_01","020_01_01","0056","itsukushima et al","The Effect of Presentation Medium of Post-Event Information: Impact of Co-Witness Information","2006",NA,"article","10.1080/09658211.2012.729597","en","jp","jp","students","lab",NA,NA,0,0,0,0,54,27,27,"between",NA,NA,0.897,0.75,NA,NA,"proportion",0,"omit","omit","consistent",NA,"Results, first column, p. 578",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","daily_activities_slides_itsukushima_et_al_2006",NA,0,0,0,"audiovisual","cowitness",NA,"no_manipulation",0,0,0,0,"recognition","visual",NA,3,3,16,"audio-visual format (compared the ME on three different slides)","Compared the ME effect on three different slides. They saw a video (exposure) were two confederates had a discussion",0.897,0.75,0.152048617601395,0.194535538554192,NA,NA,56,0.829763508841121,0.080449143338929,0.000686037095586974
"27",27,57,"020","020_02","020_02_01","0057","itsukushima et al","The Effect of Presentation Medium of Post-Event Information: Impact of Co-Witness Information","2006",NA,"article","10.1080/09658211.2012.729597","en","jp","jp","students","lab",NA,NA,0,0,0,0,54,27,27,"between",NA,NA,0.936,0.667,NA,NA,"proportion",0,"omit","omit","consistent",NA,"Results, first column, p. 578",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","daily_activities_slides_itsukushima_et_al_2006",NA,0,0,0,"text","cowitness",NA,"no_manipulation",0,0,0,0,"recognition","visual",NA,3,3,16,"audio-visual format (compared the ME on three different slides)","Compared the ME effect on three different slides. They read a text (exposure) about two confederates having a discussion",0.936,0.667,0.105371586978436,0.157876819372177,NA,NA,57,1.97515090976103,0.110196491817869,0.00249231358867093
"28",28,76,"022","022_01","022_01_01","0076","chan & langley","Paradoxical Effects of Testing: Retrieval Enhances Both Accurate Recall and Suggestibility in Eyewitnesses","2011",NA,"article","10.1037/a0021204","en","en","us","students","lab","course_credit",NA,0,0,0,0,78,39,39,"within",NA,NA,0.53,0.37,NA,NA,"proportion",0,"omit","omit","consistent","compared initial testing vs no testing","Figure 2, p. 251 recall accuracy were extracted by using a ruler",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"audiovisual","24_tv_show",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,168,0,0,"cued_recall","text",NA,8,8,24,"no initial test (vs 1 initial test)","They had consistent and control (neutral) conditions. Consistent items were used for the effect size extraction.",0.53,0.37,0.258319199085236,0.240347385406494,NA,NA,76,0.634942035296526,0.0538663550524775,1.57297340523911e-05
"29",29,77,"022","022_01","022_01_02","0077","chan & langley","Paradoxical Effects of Testing: Retrieval Enhances Both Accurate Recall and Suggestibility in Eyewitnesses","2011",NA,"article","10.1037/a0021204","en","en","us","students","lab","course_credit",NA,0,0,0,0,78,39,39,"within",NA,NA,0.67,0.42,NA,NA,"proportion",0,"omit","omit","consistent","compared initial testing vs no testing","Figure 2, p. 251 recall accuracy were extracted by using a ruler",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"audiovisual","24_tv_show",NA,1,0,0,"audio","narrative",NA,"no_manipulation",0,168,0,0,"cued_recall","text",NA,8,8,24,"1 initial test (vs no initial test)","They had consistent and control (neutral) conditions. Consistent items were used for the effect size extraction.",0.67,0.42,0.243099525570869,0.214794456958771,NA,NA,77,1.07907869705056,0.0587462232976175,4.46495011169242e-06
"30",30,78,"022","022_02","022_02_01","0078","chan & langley","Paradoxical Effects of Testing: Retrieval Enhances Both Accurate Recall and Suggestibility in Eyewitnesses","2011",NA,"article","10.1037/a0021204","en","en","us","students","lab","course_credit",NA,0,0,0,0,60,30,30,"within",NA,NA,0.65,0.14,NA,NA,"proportion",0,"omit","omit","consistent","compared initial testing vs no testing","Figure 3, p. 252 recall accuracy were extracted by using a ruler",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"audiovisual","24_tv_show",NA,0,0,168,"audio","narrative",NA,"no_manipulation",0,0,0,0,"cued_recall","text",NA,8,8,24,"no initial test (vs 1 initial test)","They had consistent and control (neutral) conditions. Consistent items were used for the effect size extraction.",0.65,0.14,0.243099525570869,0.193758919835091,NA,NA,78,2.28994826127815,0.110365525327757,1.04084832798786e-05
"31",31,79,"022","022_02","022_02_02","0079","chan & langley","Paradoxical Effects of Testing: Retrieval Enhances Both Accurate Recall and Suggestibility in Eyewitnesses","2011",NA,"article","10.1037/a0021204","en","en","us","students","lab","course_credit",NA,0,0,0,0,60,30,30,"within",NA,NA,0.84,0.2,NA,NA,"proportion",0,"omit","omit","consistent","compared initial testing vs no testing","Figure 3, p. 252 recall accuracy were extracted by using a ruler",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"audiovisual","24_tv_show",NA,1,0,168,"audio","narrative",NA,"no_manipulation",0,0,0,0,"cued_recall","text",NA,8,8,24,"1 initial test (vs no initial test)","They had consistent and control (neutral) conditions. Consistent items were used for the effect size extraction.",0.84,0.2,0.184502005577087,0.148640751838684,NA,NA,79,3.77047957341889,0.185137635113076,0.000121080637963643
